Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,107.3759548,108.4454101,3461.1,11316.1,201875479.190418125002_+20dB.wav,4078.125,4195.312,c.7
2,108.5887392,109.0738529,1057,10466.3,201875479.190418125002_+20dB.wav,3773.438,3421.875,pulse.flat
3,138.528105,139.0077011,1125.704,6860.1,201875479.190418125002_+20dB.wav,2156.25,1335.938,pulse.mod
4,182.469675,184.8456248,1367.9,2328.671,201875479.190418125002_+20dB.wav,1757.812,1781.25,modws.seg
5,226.5755046,227.2976626,538.9,5761.7,201875479.190418125002_+20dB.wav,679.688,656.25,pulse.d
6,236.8191765,238.4068215,746.1,7507.692,201875479.190418125002_+20dB.wav,1828.125,1851.562,pulse.flat.seg.3
7,239.2116693,240.4850929,766.8,7005.2,201875479.190418125002_+20dB.wav,1968.75,1968.75,pulse.flat.seg.3
8,253.3241317,253.704505,621.8,5430.1,201875479.190418125002_+20dB.wav,750,750,pulse.d
9,338.5220298,339.2441878,1621.013,2454.545,201875479.190418130002_+20dB.wav,1992.188,2250,dws
10,364.1995879,365.7927455,725.4,11067.4,201875479.190418130002_+20dB.wav,1757.812,1734.375,pulse.flat.seg.3
11,380.721081,383.5821495,1321.678,2475.524,201875479.190418130002_+20dB.wav,1617.188,1617.188,modws
12,383.7309912,383.9349595,559.6,11295.3,201875479.190418130002_+20dB.wav,1500,679.688,pulse.a
13,401.7106132,402.5981508,1347.2,2454.545,201875479.190418130002_+20dB.wav,1710.938,1593.75,dws
14,402.7966064,403.5518403,1513,2580.42,201875479.190418130002_+20dB.wav,2062.5,2343.75,dws
15,416.2105751,417.9966757,5811.189,6188.811,201875479.190418130002_+20dB.wav,6070.312,6000,trill
16,417.2579798,418.1124415,1326.4,2937.063,201875479.190418130002_+20dB.wav,1734.375,1828.125,modws
17,426.9933723,427.9360365,911.9,8911.9,201875479.190418130002_+20dB.wav,1945.312,1687.5,pulse.flat.seg.3
18,448.146075,448.8406697,787.6,4207.3,201875479.190418130002_+20dB.wav,1546.875,1593.75,pulse.flat.seg.3
19,449.3368087,450.0810173,3585.5,11909.944,201875479.190418130002_+20dB.wav,4218.75,4171.875,c.7
20,466.2632424,468.0738529,860.14,12000,201875479.190418130002_+20dB.wav,2179.688,1476.562,pulse.a
21,470.2380345,471.1579711,704.7,11896.4,201875479.190418130002_+20dB.wav,3914.062,4289.062,pulse.n
22,471.3412272,472.2182854,746.1,6922.3,201875479.190418130002_+20dB.wav,1664.062,1617.188,pulse.flat.seg.3
23,482.8279926,484.8842134,1015.5,6818.7,201875479.190418130002_+20dB.wav,2226.562,2484.375,pulse.mod.bc
24,519.4884172,520.6074864,642.5,10963.7,201875479.190418130002_+20dB.wav,1593.75,1640.625,pulse.d
25,520.3869801,521.5501506,580.3,9222.8,201875479.190418130002_+20dB.wav,1523.438,1640.625,pulse.flat
26,521.9029606,522.4652515,559.6,9347.2,201875479.190418130002_+20dB.wav,1500,1476.562,pulse.flat
27,523.6449599,524.6923646,497.4,11813.5,201875479.190418130002_+20dB.wav,1289.062,1335.938,pulse.d
28,609.8908411,611.142214,1430.1,12000,201875479.190418131002_+20dB.wav,3117.188,2648.438,pulse.flat
29,611.7927075,612.23372,1222.8,11834.2,201875479.190418131002_+20dB.wav,3539.062,4523.438,pulse.flat
30,650.6681256,651.6290721,2412.587,3692.308,201875479.190418131002_+20dB.wav,3281.25,3304.688,modws
31,654.3753973,654.6951314,2071.295,2566.604,201875479.190418131002_+20dB.wav,2367.188,2367.188,dws
32,703.5970044,706.4360223,923.077,9050.657,201875479.190418131002_+20dB.wav,1593.75,1593.75,pulse.mod.bc
33,711.9735309,712.4228057,1530.957,8725.4,201875479.190418131002_+20dB.wav,1710.938,1664.062,pulse.flat
34,714.3726514,717.0561999,994.8,8891.2,201875479.190418131002_+20dB.wav,1453.125,1453.125,pulse.flat.bc
35,739.8136639,741.8147581,766.8,10851.782,201875479.190418131002_+20dB.wav,1570.312,1593.75,pulse.mod.bc
36,900.5771564,901.128422,1243.5,9450.8,201875479.190418132002_+20dB.wav,1781.25,1593.75,pulse.d
37,912.8208283,913.8572076,1844.6,3544,201875479.190418132002_+20dB.wav,3000,2976.562,modws
38,933.9151038,934.8246892,2549.2,3419.7,201875479.190418132002_+20dB.wav,3070.312,3304.688,modws
39,945.9514803,947.5456206,1636.364,3419.7,201875479.190418132002_+20dB.wav,2906.25,2953.125,modws
40,949.771751,950.6813393,2300.5,3378.2,201875479.190418132002_+20dB.wav,2953.125,3000,modws
41,953.7574398,954.0881992,4580.3,4762.238,201875479.190418132002_+20dB.wav,4687.5,4710.938,flatws
42,954.8213824,955.2734203,4678.322,4846.154,201875479.190418132002_+20dB.wav,4757.812,4734.375,flatws
