Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,107.2381384,108.5997645,5863.398,6196.7,201875479.190326143002_+20dB.wav,6070.312,5953.125,flatws.seg
2,277.9851137,278.9884172,2557.4,3678.7,201875479.190326143002_+20dB.wav,3070.312,2929.688,modws
3,448.6901762,449.6273278,590.2,5055.7,201875479.190326144002_+20dB.wav,890.625,890.625,pulse.flat.seg.2
4,513.3726514,513.780588,845.9,1868.9,201875479.190326144002_+20dB.wav,960.938,960.938,modws
5,514.9536895,516.3202407,1691.8,12000,201875479.190326144002_+20dB.wav,5226.562,5250,pulse.a
6,709.645877,710.5534456,1534.151,10465.849,201875479.190326145002_+20dB.wav,1757.812,1734.375,pulse.flat.bc
7,714.2138786,715.2116693,336.1,567.426,201875479.190326145002_+20dB.wav,445.312,445.312,flatws
8,731.218297,732.4200561,316.3,8599.7,201875479.190326145002_+20dB.wav,796.875,820.312,pulse.d.bc
9,736.7640291,738.2689843,1462.9,11090.6,201875479.190326145002_+20dB.wav,1617.188,1687.5,pulse.flat
10,764.5192839,765.5060493,5100.5,6148.3,201875479.190326145002_+20dB.wav,5976.562,6023.438,modws
11,773.0005367,773.540777,434.9,889.6,201875479.190326145002_+20dB.wav,726.562,703.125,dws
12,774.4724159,775.111884,553.5,948.9,201875479.190326145002_+20dB.wav,796.875,796.875,dws
13,789.1852211,789.9349423,494.2,4300.188,201875479.190326145002_+20dB.wav,820.312,843.75,pulse.d
14,794.8219241,795.4475985,355.8,810.5,201875479.190326145002_+20dB.wav,632.812,656.25,dws
15,812.4172893,812.6377956,882.662,1067.5,201875479.190326145002_+20dB.wav,984.375,960.938,flatws
16,833.8423214,835.2866373,3024.7,8595.447,201875479.190326145002_+20dB.wav,3984.375,4007.812,modws.seg
17,947.5333156,947.8896615,1323.993,11411.559,201875479.190326150002_+20dB.wav,1617.188,1617.188,pulse.n
18,948.1036254,948.5501506,6108.7,6761.1,201875479.190326150002_+20dB.wav,6304.688,6304.688,modws
19,951.1521451,951.3506008,6430.823,11110.4,201875479.190326150002_+20dB.wav,8531.25,8601.562,aws
20,953.7596315,954.0297517,1028,1870.403,201875479.190326150002_+20dB.wav,1664.062,1804.688,nws
21,962.4553412,963.4035181,2352.6,11881.4,201875479.190326150002_+20dB.wav,3726.562,2835.938,pulse.a
22,964.0913095,965.2502579,2479.86,3173.38,201875479.190326150002_+20dB.wav,2835.938,2835.938,trill
23,965.828496,967.2954534,2471.2,3593.695,201875479.190326150002_+20dB.wav,2906.25,2671.875,trill
24,968.2116693,969.2976626,2479.86,3299.475,201875479.190326150002_+20dB.wav,3000,3210.938,trill
25,970.0584092,971.0837632,2458.844,3152.364,201875479.190326150002_+20dB.wav,2765.625,2695.312,trill
26,971.3295867,972.1532185,2479.86,3026.27,201875479.190326150002_+20dB.wav,2835.938,2835.938,trill
27,993.0562208,993.3098029,1047.8,1912.434,201875479.190326150002_+20dB.wav,1406.25,1429.688,dws
28,997.9029748,998.2557848,3657.3,4182.137,201875479.190326150002_+20dB.wav,3937.5,3984.375,dws.seq
29,998.7353859,999.1874237,3657.3,4224.168,201875479.190326150002_+20dB.wav,3984.375,3960.938,dws.seq
30,999.5953602,1000.179702,3736.4,4497.373,201875479.190326150002_+20dB.wav,4007.812,3960.938,dws.seq
31,1000.554562,1001.133391,3698.774,4329.247,201875479.190326150002_+20dB.wav,4007.812,4007.812,dws.seq
32,1032.480695,1034.895239,3068.301,6178.634,201875479.190326150002_+20dB.wav,4429.688,4781.25,modws.seg
33,1066.993373,1069.84258,2500.876,3152.364,201875479.190326150002_+20dB.wav,2835.938,2718.75,trill
34,1070.068598,1070.697041,2611.632,3173.38,201875479.190326150002_+20dB.wav,2976.562,3046.875,trill
35,1141.842338,1142.224904,2647.986,3152.364,201875479.190326150002_+20dB.wav,2929.688,2929.688,trill
36,1142.24586,1143.524797,5905.429,6472.855,201875479.190326150002_+20dB.wav,6117.188,5929.688,dottrill
37,1142.406822,1142.726556,2566.604,3026.27,201875479.190326150002_+20dB.wav,2835.938,2812.5,trill
38,1142.969112,1143.294359,2634.146,3047.285,201875479.190326150002_+20dB.wav,2882.812,2859.375,trill
