Call_type,mean_dur,sd_dur,mean_LF,sd_LF,mean_HF,sd_HF,mean_bw,sd_bw,mean_center,sd_center,mean_peak,sd_peak
aws,0.37,0.18,3010.41,2378.66,4639.76,3588.07,1629.36,1702.38,3637.5,2743.2,3642.19,2791.8
aws.seg,0.65,0.28,4649.01,1532.76,7057.97,1634.75,2408.95,1191.44,5768.55,1716.98,6023.44,1982.18
aws.seq,0.96,0.41,5356.7,1464.35,9409.93,2535.9,4053.23,1307.1,6830.73,1787.76,6489.58,1684.1
c.1,1,NA,393.44,NA,12000,NA,11606.56,NA,4007.81,NA,843.75,NA
c.2,1.55,NA,415.3,NA,12000,NA,11584.7,NA,3773.44,NA,7265.62,NA
c.3,0.99,NA,360.22,NA,12000,NA,11639.77,NA,4054.69,NA,3703.12,NA
c.4,1.27,NA,180.11,NA,12000,NA,11819.89,NA,4125,NA,4125,NA
c.5,1.91,0.37,1315.53,985.3,11989.7,19.07,10674.17,995.05,3257.81,968.54,3292.97,1128.83
c.6,1.12,NA,405.25,NA,11909.94,NA,11504.69,NA,4500,NA,4148.44,NA
c.7,0.91,0.23,3523.3,87.96,11613.02,419.91,8089.72,331.95,4148.44,99.44,4183.59,16.57
dottrill,0.9,0.41,4473.36,1348.67,5034.08,1294.45,560.72,179.18,4765.62,1232.72,4726.56,1115.52
dws,0.46,0.25,1091.56,1008.47,1948.51,1327.93,856.95,672.9,1439.48,1083.77,1425.97,1080.39
dws.seg,0.85,0.27,1683.96,1710.66,3274.25,1992.37,1590.29,1015.83,2162.95,1961.92,2164.62,1955.06
dws.seq,0.87,0.6,2355.96,2606.56,3376.44,2731.34,1020.47,441.39,2799.45,2806.94,2789.95,2868.66
dws.seq.t,1.17,0.48,600.29,139.3,1749.93,475.71,1149.64,359.67,779.3,105.47,808.59,102.16
flatws,0.59,0.33,1461.31,1414.95,1672.54,1416.64,211.22,65.02,1576.06,1415.14,1576.85,1416.53
flatws.seg,1.06,0.48,1875.56,1670.26,2132.5,1766.84,256.94,125.68,2013.89,1736.48,2012.15,1732.51
modws,0.99,0.48,2088.09,1803.94,3292.31,2179.47,1204.22,861.69,2589.02,1955.69,2569.17,2003.34
modws.m,0.86,0.26,3386.62,1627.17,5066.04,2167.59,1679.42,668.27,4218.75,2102.33,3908.2,1687.54
modws.m.seg,1.13,0.09,646.13,67.25,1413.56,79.31,767.43,75.42,928.12,73.37,909.38,137.06
modws.sa,0.22,0.02,4891.74,389.98,8294.18,234.29,3402.44,160.66,6210.94,93.75,5914.06,500.67
modws.sa.seq,1.48,0.64,5424.79,303.15,8249.47,413.41,2824.68,665.89,6699.78,167.06,6468.75,325.32
modws.seg,1.24,0.54,2319.73,1733.49,4110.27,2679.92,1790.54,1192.62,2950.35,2118.97,2879.11,2067.74
modws.seg.t,1.09,0.21,597.58,188.29,1772.54,115.99,1174.96,199.45,1021.87,309.87,993.75,325.01
modws.t,0.89,0.25,766.5,635.22,2734.54,852.1,1968.05,1075.68,1246.88,891,1190.63,913.37
nws,0.42,0.18,1488.45,2010,2378.17,2004.59,889.72,310.52,2021.21,2064.81,2021.21,2108.19
nws.seg,0.47,0.07,2084.27,2952.59,3356.07,2789.59,1271.8,226.34,2820.31,3126.98,3000,2996.7
nws.seq,0.75,0.64,2967.44,1904.83,3462.35,1832.93,494.91,208.99,3150,1968.09,3173.44,2015.46
pulse.a,0.89,0.41,1068.6,743.65,10279.11,2749.32,9210.51,2583.14,2405.13,1643.41,1857.14,1401.67
pulse.d,0.77,0.34,917.23,417.81,8608.57,2906.17,7691.34,2807.19,1774.55,1084.76,1607.14,1086.38
pulse.d.bc,1.44,0.57,803.67,302.56,9241.29,1899.48,8437.62,1996.82,1533.2,368.75,1525.39,385.57
pulse.d.seg,1.35,0.38,740.37,629.29,9307.71,2143.75,8567.34,1967.92,2572.27,1558.54,1699.22,1407.99
pulse.flat,0.93,0.4,1387.9,1052.6,7747.52,3271.11,6359.63,3106.75,2571.13,1586.92,2380.14,1607.32
pulse.flat.bc,2,0.95,1143.17,341.86,9829.46,829.59,8686.29,700.22,1421.88,352.6,1406.25,353.9
pulse.flat.seg,1.81,1.36,1285.08,953.21,10403.06,1943.32,9117.98,2127.15,3298.56,1413.8,3160.1,1864.89
pulse.flat.seg.1,0.91,0.22,793.69,368.26,4831.07,1708.5,4037.38,1504.19,1574.22,428.19,1566.41,447.02
pulse.flat.seg.2,1.04,0.21,663.33,73.92,3511.49,1284.84,2848.16,1347.78,1031.25,198.32,1007.81,228.44
pulse.flat.seg.3,1.01,0.33,722.63,66.76,6181.68,2493.53,5459.05,2465.62,1706.54,350.28,1646.48,350.31
pulse.flat.seg.4,1,0.28,842.59,240.57,5109.12,1724.13,4266.53,1697.96,1406.25,332.78,1390.62,426.71
pulse.mod,1.17,0.59,1482.74,901.79,9330.26,2020.83,7847.52,1582.51,3153.81,1571.75,2893.07,1648.48
pulse.mod.bc,2.35,0.4,985.91,197.08,9522.69,2058.48,8536.77,2047.72,2343.75,1135.21,2419.92,1138.81
pulse.mod.seg,1.02,0.18,1334.98,300.77,9833.03,1337.19,8498.05,1394.01,4591.41,1128.22,4410.94,1744.47
pulse.n,0.49,0.24,1807.78,1401.63,8960.35,2940.12,7152.58,2764.26,2933.59,2067.74,2996.09,2112.28
rws,0.3,0.13,1513.74,74.69,2019.21,76.58,505.47,94.77,1906.25,70.57,1878.91,127.01
trill,1.17,0.83,3629.45,774.57,4129.9,723.98,500.45,200.21,3928.22,762.7,3917.48,766.25
uws,0.44,0.3,2787.75,2102.11,4179.81,3146.13,1392.06,1325.41,3229.87,2404.13,3168.57,2362.15
uws.seq,1.3,0.53,3382.56,935.13,5092.26,1505.11,1709.7,906.72,3808.59,1054.67,3728.91,1041
