low.freq,freq,high.freq,db
97.2,100,103,61.64743271
103,106,109,62.24667948
109,112,115,63.2876703
116,119,122,61.77451809
122,126,130,61.6576829
129,133,137,63.00724595
137,141,145,59.02027686
146,150,154,59.73974737
154,158,163,62.13602177
163,168,173,59.49128263
173,178,183,61.8285983
183,188,193,61.77599304
194,200,206,62.97226327
205,211,217,61.13565104
218,224,231,61.0039285
230,237,244,61.28573567
244,251,258,61.26992201
258,266,274,63.09572029
274,282,290,64.7407845
291,299,308,62.47279686
307,316,325,62.88565932
325,335,345,61.89707164
345,355,365,62.02844736
365,376,387,61.12350339
387,398,410,59.98723767
410,422,434,63.12314035
434,447,460,61.78371826
460,473,487,63.6691024
487,501,516,62.41142874
516,531,547,64.32092211
546,562,578,63.48946847
579,596,613,63.11390997
613,631,649,68.75003371
649,668,688,73.08501292
688,708,729,67.10974936
729,750,772,69.77810924
771,794,817,68.29486064
817,841,866,66.76581682
866,891,917,66.73262187
917,944,972,68.67788261
972,1000,1030,66.2061277
1030,1060,1090,68.34566858
1090,1120,1150,68.43431009
1160,1190,1220,70.43293301
1220,1260,1300,76.46181365
1290,1330,1370,73.44346001
1370,1410,1450,66.33791732
1460,1500,1540,65.3693214
1540,1580,1630,67.57778812
1630,1680,1730,66.52490004
1730,1780,1830,66.71377976
1830,1880,1930,70.2780096
1940,2000,2060,72.63382885
2050,2110,2170,72.45298735
2180,2240,2310,68.37590561
2300,2370,2440,68.93506401
2440,2510,2580,67.89151151
2580,2660,2740,67.69532709
2740,2820,2900,78.34843462
2910,2990,3080,84.46671828
3070,3160,3250,85.04815014
3250,3350,3450,86.7603943
3450,3550,3650,85.50392204
3650,3760,3870,82.47941674
3870,3980,4100,86.10453351
4100,4220,4340,80.99003875
4340,4470,4600,73.75117574
4600,4730,4870,69.71921547
4870,5010,5160,67.02586402
5160,5310,5470,66.80202468
5460,5620,5780,65.64506735
5790,5960,6130,67.03445777
6130,6310,6490,70.48068992
6490,6680,6880,72.86027422
6880,7080,7290,71.87086948
7290,7500,7720,72.70347406
7710,7940,8170,78.53435522
8170,8410,8660,70.96542885
8660,8910,9170,67.79735613
9170,9440,9720,65.41626777
9720,10000,10300,65.18365867
10300,10600,10900,64.88137199
10900,11200,11500,62.55427567
