low.freq,freq,high.freq,db
97.2,100,103,105.8485292
103,106,109,101.8201828
109,112,115,95.6721081
116,119,122,93.89121513
122,126,130,96.73665224
129,133,137,96.7679996
137,141,145,94.05719926
146,150,154,96.59547581
154,158,163,95.62275036
163,168,173,92.66448431
173,178,183,93.89068611
183,188,193,91.79837554
194,200,206,91.06637506
205,211,217,89.66110834
218,224,231,90.40977468
230,237,244,91.02204475
244,251,258,89.64336065
258,266,274,86.13254556
274,282,290,85.68147377
291,299,308,89.5986956
307,316,325,91.40103167
325,335,345,89.86123924
345,355,365,87.68508215
365,376,387,92.31638484
387,398,410,95.16865815
410,422,434,95.27307783
434,447,460,94.11940743
460,473,487,93.2109463
487,501,516,91.89526641
516,531,547,91.51744876
546,562,578,96.53158268
579,596,613,97.98531682
613,631,649,96.18686557
649,668,688,97.15508743
688,708,729,99.66440019
729,750,772,97.80100627
771,794,817,97.08078627
817,841,866,96.56069735
866,891,917,95.39940884
917,944,972,94.99188747
972,1000,1030,90.3414249
1030,1060,1090,90.75911561
1090,1120,1150,88.20376473
1160,1190,1220,90.38332062
1220,1260,1300,93.46326944
1290,1330,1370,92.30834167
1370,1410,1450,88.17574875
1460,1500,1540,87.75787796
1540,1580,1630,86.33047076
1630,1680,1730,91.24987451
1730,1780,1830,92.91568291
1830,1880,1930,90.88553468
1940,2000,2060,87.93940697
2050,2110,2170,87.21050453
2180,2240,2310,88.26023391
2300,2370,2440,86.63092063
2440,2510,2580,84.58133115
2580,2660,2740,84.63080333
2740,2820,2900,85.54857582
2910,2990,3080,85.79002362
3070,3160,3250,85.2145675
3250,3350,3450,85.76614342
3450,3550,3650,85.92952554
3650,3760,3870,86.02541847
3870,3980,4100,87.08672491
4100,4220,4340,87.62594673
4340,4470,4600,87.01878387
4600,4730,4870,85.82146816
4870,5010,5160,84.53887628
5160,5310,5470,83.68614954
5460,5620,5780,81.72602076
5790,5960,6130,80.38955359
6130,6310,6490,80.4946114
6490,6680,6880,80.67526295
6880,7080,7290,78.54830194
7290,7500,7720,76.26354635
7710,7940,8170,74.46559812
8170,8410,8660,73.30194789
8660,8910,9170,71.34757327
9170,9440,9720,70.46696263
9720,10000,10300,67.71325669
10300,10600,10900,66.10035657
10900,11200,11500,63.00090724
