low.freq,freq,high.freq,db
97.2,100,103,73.88861161
103,106,109,65.02219681
109,112,115,61.82362084
116,119,122,63.65870678
122,126,130,61.32556135
129,133,137,60.51266981
137,141,145,60.3653923
146,150,154,60.95638695
154,158,163,58.77788636
163,168,173,58.53110209
173,178,183,60.03471995
183,188,193,60.47852199
194,200,206,62.47011001
205,211,217,62.98041476
218,224,231,65.57850071
230,237,244,66.48075892
244,251,258,65.33845141
258,266,274,66.06574041
274,282,290,64.08044877
291,299,308,64.61605236
307,316,325,62.63943408
325,335,345,63.62570338
345,355,365,64.39787556
365,376,387,65.0659431
387,398,410,67.45722575
410,422,434,69.80032152
434,447,460,70.31870191
460,473,487,70.00813892
487,501,516,71.25331959
516,531,547,70.82178748
546,562,578,70.57011362
579,596,613,73.56238497
613,631,649,72.76121977
649,668,688,73.69117581
688,708,729,75.43310139
729,750,772,76.56568886
771,794,817,77.88839249
817,841,866,77.67996946
866,891,917,78.3251726
917,944,972,79.9887307
972,1000,1030,76.558075
1030,1060,1090,73.06966494
1090,1120,1150,68.48559725
1160,1190,1220,60.90858209
1220,1260,1300,68.05344147
1290,1330,1370,70.90865466
1370,1410,1450,64.57454098
1460,1500,1540,66.01086619
1540,1580,1630,68.34721443
1630,1680,1730,67.39268469
1730,1780,1830,68.10548141
1830,1880,1930,68.78642848
1940,2000,2060,67.858092
2050,2110,2170,64.74566693
2180,2240,2310,66.95457834
2300,2370,2440,70.07505828
2440,2510,2580,69.45225816
2580,2660,2740,71.25510439
2740,2820,2900,69.29291573
2910,2990,3080,66.65680332
3070,3160,3250,67.02848475
3250,3350,3450,65.76117738
3450,3550,3650,64.52318102
3650,3760,3870,64.03744331
3870,3980,4100,62.43972309
4100,4220,4340,62.72194669
4340,4470,4600,61.06394785
4600,4730,4870,60.86349222
4870,5010,5160,58.35645598
5160,5310,5470,56.4752348
5460,5620,5780,55.20704144
5790,5960,6130,54.51278002
6130,6310,6490,54.5154971
6490,6680,6880,54.75256346
6880,7080,7290,54.15704835
7290,7500,7720,53.75565454
7710,7940,8170,53.65384229
8170,8410,8660,53.71188126
8660,8910,9170,53.32446262
9170,9440,9720,52.47003953
9720,10000,10300,51.95035667
10300,10600,10900,51.25235218
10900,11200,11500,50.47254602
