low.freq,freq,high.freq,db
97.2,100,103,69.16194729
103,106,109,68.67275625
109,112,115,68.65050719
116,119,122,69.72833789
122,126,130,65.36621236
129,133,137,67.92792529
137,141,145,64.3850982
146,150,154,63.58230983
154,158,163,68.98419651
163,168,173,63.77450358
173,178,183,65.27035194
183,188,193,62.67054407
194,200,206,64.42602452
205,211,217,63.45234182
218,224,231,65.82745728
230,237,244,66.36488219
244,251,258,65.15461141
258,266,274,64.51910883
274,282,290,64.80001935
291,299,308,62.14109432
307,316,325,64.87872997
325,335,345,65.67857832
345,355,365,62.00390692
365,376,387,62.41627783
387,398,410,62.80986629
410,422,434,61.8190445
434,447,460,61.13392833
460,473,487,61.77783081
487,501,516,64.24898515
516,531,547,63.96235743
546,562,578,62.4413615
579,596,613,66.76078125
613,631,649,68.06632764
649,668,688,67.35444582
688,708,729,67.59810191
729,750,772,68.70438876
771,794,817,75.36810686
817,841,866,76.84640695
866,891,917,78.08821632
917,944,972,77.95740197
972,1000,1030,76.82790007
1030,1060,1090,71.94450135
1090,1120,1150,66.328121
1160,1190,1220,59.70089282
1220,1260,1300,58.53753683
1290,1330,1370,58.84716357
1370,1410,1450,58.12129597
1460,1500,1540,56.12761356
1540,1580,1630,56.32761356
1630,1680,1730,57.64908098
1730,1780,1830,57.42671909
1830,1880,1930,56.8664098
1940,2000,2060,56.17053522
2050,2110,2170,55.31870013
2180,2240,2310,56.18564441
2300,2370,2440,56.19939271
2440,2510,2580,55.42962304
2580,2660,2740,55.51434481
2740,2820,2900,54.91870013
2910,2990,3080,55.67912048
3070,3160,3250,55.94786829
3250,3350,3450,56.12842011
3450,3550,3650,56.12602932
3650,3760,3870,56.42962304
3870,3980,4100,56.30874266
4100,4220,4340,56.34424044
4340,4470,4600,56.89503866
4600,4730,4870,56.82671909
4870,5010,5160,57.67064617
5160,5310,5470,57.64963978
5460,5620,5780,57.45956183
5790,5960,6130,57.31844817
6130,6310,6490,56.8593393
6490,6680,6880,57.43027185
6880,7080,7290,57.74609976
7290,7500,7720,58.64067049
7710,7940,8170,58.14067049
8170,8410,8660,57.47548435
8660,8910,9170,56.95556502
9170,9440,9720,56.52842011
9720,10000,10300,56.3180442
10300,10600,10900,55.609374
10900,11200,11500,54.92188683
