low.freq,freq,high.freq,db
97.2,100,103,70.94954916
103,106,109,71.74507195
109,112,115,68.2995953
116,119,122,67.87683551
122,126,130,70.11667055
129,133,137,72.02023581
137,141,145,68.80348581
146,150,154,65.84576719
154,158,163,66.81845255
163,168,173,69.04090967
173,178,183,67.62022161
183,188,193,67.00316377
194,200,206,69.53667938
205,211,217,65.12873791
218,224,231,66.70974317
230,237,244,67.10722417
244,251,258,65.37697212
258,266,274,66.49238415
274,282,290,64.52022161
291,299,308,64.59389938
307,316,325,62.87314211
325,335,345,62.65604123
345,355,365,62.27449351
365,376,387,62.62104166
387,398,410,61.33221805
410,422,434,62.72821157
434,447,460,62.24898359
460,473,487,61.43752777
487,501,516,61.99506458
516,531,547,61.95260953
546,562,578,60.7179279
579,596,613,63.30921325
613,631,649,62.24314826
649,668,688,60.96845084
688,708,729,61.34942181
729,750,772,63.37675301
771,794,817,90.83249153
817,841,866,69.5096717
866,891,917,77.57878383
917,944,972,63.67071732
972,1000,1030,60.85472444
1030,1060,1090,59.69547355
1090,1120,1150,57.43838911
1160,1190,1220,54.39674865
1220,1260,1300,55.80354767
1290,1330,1370,55.81403376
1370,1410,1450,58.03386747
1460,1500,1540,59.82552897
1540,1580,1630,68.61452115
1630,1680,1730,74.84946831
1730,1780,1830,57.50921141
1830,1880,1930,56.4646468
1940,2000,2060,54.30233758
2050,2110,2170,55.58889049
2180,2240,2310,56.57245501
2300,2370,2440,56.35791897
2440,2510,2580,55.8559733
2580,2660,2740,55.78523217
2740,2820,2900,54.58098491
2910,2990,3080,54.52758719
3070,3160,3250,54.94413052
3250,3350,3450,54.81213612
3450,3550,3650,55.228121
3650,3760,3870,55.33920982
3870,3980,4100,54.97377664
4100,4220,4340,55.00034113
4340,4470,4600,55.49237899
4600,4730,4870,55.76226044
4870,5010,5160,55.8687694
5160,5310,5470,55.91458026
5460,5620,5780,56.45177438
5790,5960,6130,55.94583147
6130,6310,6490,56.17611857
6490,6680,6880,56.06194697
6880,7080,7290,56.33221805
7290,7500,7720,56.33999928
7710,7940,8170,56.75380974
8170,8410,8660,56.74680984
8660,8910,9170,55.84898515
9170,9440,9720,56.1428303
9720,10000,10300,55.83358983
10300,10600,10900,55.30690501
10900,11200,11500,54.90076749
