low.freq,freq,high.freq,db
97.2,100,103,79.84865372
103,106,109,88.00678747
109,112,115,87.95215215
116,119,122,86.35391448
122,126,130,84.55839768
129,133,137,82.67150479
137,141,145,87.40011978
146,150,154,81.35954377
154,158,163,82.25999242
163,168,173,79.64523412
173,178,183,83.352456
183,188,193,75.09678431
194,200,206,76.12477816
205,211,217,76.63212276
218,224,231,79.8509804
230,237,244,80.81209893
244,251,258,78.25520361
258,266,274,76.64894995
274,282,290,75.7227372
291,299,308,77.39422836
307,316,325,73.709374
325,335,345,74.6641792
345,355,365,77.35270013
365,376,387,77.27525146
387,398,410,74.21325094
410,422,434,76.08521317
434,447,460,74.65914475
460,473,487,74.77525146
487,501,516,75.86622528
516,531,547,76.85689005
546,562,578,74.71903651
579,596,613,75.82147158
613,631,649,75.0889461
649,668,688,74.42005648
688,708,729,75.99891005
729,750,772,81.1177825
771,794,817,79.89213506
817,841,866,79.80750157
866,891,917,82.82867028
917,944,972,85.49667447
972,1000,1030,76.90664127
1030,1060,1090,71.44085504
1090,1120,1150,74.62118929
1160,1190,1220,72.54321063
1220,1260,1300,73.50267938
1290,1330,1370,72.11338877
1370,1410,1450,81.42531561
1460,1500,1540,82.23539249
1540,1580,1630,77.01266322
1630,1680,1730,77.74935077
1730,1780,1830,80.91738435
1830,1880,1930,81.54564982
1940,2000,2060,80.08214384
2050,2110,2170,77.66550368
2180,2240,2310,74.93162278
2300,2370,2440,76.13012365
2440,2510,2580,75.31753803
2580,2660,2740,77.0946013
2740,2820,2900,78.73697213
2910,2990,3080,82.81168584
3070,3160,3250,80.1833769
3250,3350,3450,81.85472324
3450,3550,3650,78.18574914
3650,3760,3870,73.54805665
3870,3980,4100,73.14797355
4100,4220,4340,72.915952
4340,4470,4600,72.50921325
4600,4730,4870,72.98098748
4870,5010,5160,72.64797355
5160,5310,5470,70.207247
5460,5620,5780,70.25176921
5790,5960,6130,70.46226044
6130,6310,6490,69.95099006
6490,6680,6880,69.60378615
6880,7080,7290,70.19389938
7290,7500,7720,70.53162278
7710,7940,8170,70.87233237
8170,8410,8660,69.19754371
8660,8910,9170,68.08222005
9170,9440,9720,67.66754342
9720,10000,10300,66.02147158
10300,10600,10900,62.88155743
10900,11200,11500,61.08021044
