low.freq,freq,high.freq,db
97.2,100,103,72.95553575
103,106,109,71.44837052
109,112,115,69.06340256
116,119,122,70.03153799
122,126,130,69.09124873
129,133,137,69.35471715
137,141,145,66.69701893
146,150,154,69.07191803
154,158,163,72.24915204
163,168,173,67.76758879
173,178,183,69.16366956
183,188,193,68.17406327
194,200,206,68.68393613
205,211,217,68.24293749
218,224,231,71.72663007
230,237,244,70.97209752
244,251,258,67.89641246
258,266,274,65.56803107
274,282,290,65.65535907
291,299,308,68.89095599
307,316,325,68.34005163
325,335,345,67.20113591
345,355,365,66.13435141
365,376,387,66.53964532
387,398,410,64.9202231
410,422,434,64.99188145
434,447,460,66.08219813
460,473,487,65.31852635
487,501,516,65.45550427
516,531,547,65.61550659
546,562,578,67.11875091
579,596,613,67.36183855
613,631,649,67.95110908
649,668,688,67.01173806
688,708,729,68.38821835
729,750,772,79.19516477
771,794,817,78.34822325
817,841,866,82.83571121
866,891,917,76.72516075
917,944,972,74.29203895
972,1000,1030,76.27839669
1030,1060,1090,66.89471929
1090,1120,1150,66.09286212
1160,1190,1220,68.05604123
1220,1260,1300,68.89188145
1290,1330,1370,72.95771723
1370,1410,1450,80.29829503
1460,1500,1540,74.90944155
1540,1580,1630,79.24922374
1630,1680,1730,85.16308779
1730,1780,1830,75.26434619
1830,1880,1930,68.05426521
1940,2000,2060,64.67635837
2050,2110,2170,65.20081431
2180,2240,2310,65.53569333
2300,2370,2440,65.99843515
2440,2510,2580,70.9266262
2580,2660,2740,65.57669378
2740,2820,2900,65.48656646
2910,2990,3080,64.16398046
3070,3160,3250,67.16566063
3250,3350,3450,66.80244395
3450,3550,3650,64.47819736
3650,3760,3870,64.23413898
3870,3980,4100,64.77295409
4100,4220,4340,66.43913969
4340,4470,4600,64.04714457
4600,4730,4870,72.55520613
4870,5010,5160,63.96297915
5160,5310,5470,60.82597438
5460,5620,5780,61.43322894
5790,5960,6130,61.63612102
6130,6310,6490,66.26655014
6490,6680,6880,63.70394521
6880,7080,7290,62.9242963
7290,7500,7720,61.92718136
7710,7940,8170,62.0706412
8170,8410,8660,61.41934769
8660,8910,9170,60.75108454
9170,9440,9720,60.30851015
9720,10000,10300,59.21202128
10300,10600,10900,57.47295409
10900,11200,11500,56.83819572
