low.freq,freq,high.freq,db
97.2,100,103,77.2408947
103,106,109,81.80125229
109,112,115,78.12772577
116,119,122,74.77710466
122,126,130,74.86526111
129,133,137,75.97933231
137,141,145,73.48021044
146,150,154,75.59929817
154,158,163,78.30095747
163,168,173,72.9172105
173,178,183,73.36948695
183,188,193,72.49131989
194,200,206,71.30784363
205,211,217,71.83921128
218,224,231,71.44132286
230,237,244,71.4363956
244,251,258,74.80330384
258,266,274,72.47252121
274,282,290,72.26859046
291,299,308,71.16948695
307,316,325,75.06098397
325,335,345,75.35033981
345,355,365,72.79674758
365,376,387,74.4839795
387,398,410,73.99179816
410,422,434,71.24913386
434,447,460,71.77333855
460,473,487,71.15759882
487,501,516,70.78564441
516,531,547,71.5091531
546,562,578,72.78405462
579,596,613,71.99215916
613,631,649,71.20937829
649,668,688,71.74010271
688,708,729,76.2368065
729,750,772,80.08528127
771,794,817,74.98888378
817,841,866,75.33694109
866,891,917,85.37559329
917,944,972,92.28324787
972,1000,1030,72.97269357
1030,1060,1090,76.66686835
1090,1120,1150,77.54791426
1160,1190,1220,68.63204493
1220,1260,1300,82.06903311
1290,1330,1370,82.62402509
1370,1410,1450,85.0007388
1460,1500,1540,90.49533009
1540,1580,1630,86.00186404
1630,1680,1730,88.79903883
1730,1780,1830,79.38788685
1830,1880,1930,81.42326478
1940,2000,2060,71.66262464
2050,2110,2170,68.23925753
2180,2240,2310,69.79587875
2300,2370,2440,75.56515082
2440,2510,2580,72.15534702
2580,2660,2740,68.76753495
2740,2820,2900,72.04822325
2910,2990,3080,76.25209623
3070,3160,3250,68.76753495
3250,3350,3450,65.79664781
3450,3550,3650,68.52330268
3650,3760,3870,71.34961281
3870,3980,4100,64.85865853
4100,4220,4340,67.49533257
4340,4470,4600,70.76996121
4600,4730,4870,66.78239861
4870,5010,5160,64.61845255
5160,5310,5470,66.01403482
5460,5620,5780,63.99664781
5790,5960,6130,68.75203792
6130,6310,6490,65.83694109
6490,6680,6880,64.69727312
6880,7080,7290,63.43663576
7290,7500,7720,63.47106744
7710,7940,8170,62.11192127
8170,8410,8660,60.69317164
8660,8910,9170,60.52761356
9170,9440,9720,59.01483524
9720,10000,10300,57.97387961
10300,10600,10900,57.2428303
10900,11200,11500,55.90228461
