low.freq,freq,high.freq,db
97.2,100,103,65.84739052
103,106,109,67.1072495
109,112,115,66.84268487
116,119,122,67.13762211
122,126,130,66.05422499
129,133,137,69.75052411
137,141,145,63.15853511
146,150,154,63.3433921
154,158,163,69.21292479
163,168,173,66.64864838
173,178,183,68.68053891
183,188,193,66.32695778
194,200,206,67.4821742
205,211,217,66.04829759
218,224,231,62.17269715
230,237,244,60.82426156
244,251,258,61.28126432
258,266,274,62.97103249
274,282,290,60.50817543
291,299,308,59.60269445
307,316,325,59.96978302
325,335,345,60.62735961
345,355,365,62.36413306
365,376,387,61.22143192
387,398,410,60.11452494
410,422,434,59.98737266
434,447,460,61.76862964
460,473,487,61.91893361
487,501,516,62.87011376
516,531,547,63.07743086
546,562,578,62.22719518
579,596,613,64.06777333
613,631,649,63.78538941
649,668,688,65.65263289
688,708,729,64.96788491
729,750,772,65.38359062
771,794,817,63.6555272
817,841,866,64.2944142
866,891,917,76.79744503
917,944,972,79.65445635
972,1000,1030,82.31818833
1030,1060,1090,68.25046919
1090,1120,1150,65.50851174
1160,1190,1220,64.08409153
1220,1260,1300,64.10473631
1290,1330,1370,68.77296663
1370,1410,1450,60.7320436
1460,1500,1540,60.31659153
1540,1580,1630,64.75383947
1630,1680,1730,62.23247278
1730,1780,1830,65.90780692
1830,1880,1930,63.2554937
1940,2000,2060,64.44278532
2050,2110,2170,65.36058256
2180,2240,2310,74.0971422
2300,2370,2440,69.88484009
2440,2510,2580,68.16002395
2580,2660,2740,71.45765496
2740,2820,2900,69.71304051
2910,2990,3080,72.18919393
3070,3160,3250,78.34364536
3250,3350,3450,72.01900816
3450,3550,3650,75.50864531
3650,3760,3870,69.40259994
3870,3980,4100,75.52248981
4100,4220,4340,70.02295975
4340,4470,4600,73.05405001
4600,4730,4870,65.25342377
4870,5010,5160,67.04724876
5160,5310,5470,66.33967443
5460,5620,5780,60.74578441
5790,5960,6130,62.42747138
6130,6310,6490,64.22020253
6490,6680,6880,65.33624923
6880,7080,7290,64.11380079
7290,7500,7720,64.80906407
7710,7940,8170,61.5907484
8170,8410,8660,62.29955356
8660,8910,9170,59.89535155
9170,9440,9720,58.54485353
9720,10000,10300,57.9866566
10300,10600,10900,56.57579397
10900,11200,11500,55.53036651
