freq,db
100,53.3
101,56.3
102,54.4
103,50.6
104,53.8
105,53.3
106,51.2
107,53.7
108,54.6
109,54.6
110,54.3
111,57.1
112,54.6
113,55
114,53
115,51.9
116,55.8
117,50
118,51
119,50.9
120,53
121,50.2
122,51.6
123,50.4
124,48.4
125,51.6
126,52.8
127,50.3
128,52.1
129,53.7
130,53.8
131,54.5
132,53.7
133,52.5
134,50.8
135,50.1
136,53.5
137,52
138,49
139,46.8
140,47.7
141,49.3
142,50.3
143,48.2
144,48.6
145,51.5
146,49.6
147,48.6
148,51.6
149,50.5
150,50.8
151,52.2
152,52.4
153,50.6
154,53.6
155,52.4
156,51.4
157,54.6
158,55.3
159,51.7
160,50.3
161,47
162,43
163,44.8
164,48.2
165,46.7
166,43.3
167,49.6
168,49.6
169,52.8
170,48.8
171,49.8
172,50.6
173,48.5
174,44.5
175,50.3
176,47.4
177,48.3
178,55.5
179,54.9
180,54.2
181,52.3
182,49.4
183,47.5
184,53.8
185,53.2
186,52
187,50.1
188,50.5
189,49.8
190,48.1
191,50.9
192,50.4
193,47.3
194,52.3
195,50.2
196,47.7
197,49.1
198,51.9
199,49.7
200,51.8
201,53.4
202,52.9
203,54.6
204,53.3
205,49.3
206,49.2
207,49.1
208,53.4
209,53.7
210,46.4
211,45.7
212,46.5
213,43.3
214,48.4
215,46.6
216,50
217,50.4
218,48.5
219,49.9
220,47.3
221,47.3
222,50.1
223,45.4
224,51.6
225,51.3
226,48.6
227,49.2
228,49.6
229,50.2
230,48.3
231,52.6
232,47.1
233,49.7
234,50.3
235,48.5
236,47.4
237,46.8
238,45.3
239,44.8
240,46
241,51.5
242,48.8
243,50.5
244,51
245,49.9
246,49.7
247,52.1
248,50.9
249,50.3
250,46.8
251,47.2
252,50.1
253,50.7
254,46.7
255,44.9
256,49.2
257,45.6
258,50.1
259,53
260,51
261,46
262,51.1
263,50.3
264,50.3
265,47.5
266,48.6
267,48.7
268,50.7
269,50.1
270,51.5
271,51.9
272,51.2
273,50.1
274,51.4
275,52.1
276,53.4
277,54.1
278,54.6
279,52.6
280,54.1
281,50.8
282,51.6
283,52.3
284,50.1
285,46.6
286,51.1
287,48.7
288,49.3
289,52
290,47.8
291,42.6
292,49.7
293,48.3
294,52.7
295,51.6
296,45
297,50.5
298,48.7
299,52.6
300,49.6
301,44.4
302,46.8
303,51.6
304,51
305,45.5
306,46.4
307,47.5
308,49
309,50.5
310,48.4
311,50.3
312,49.9
313,50.9
314,53.3
315,50
316,51.2
317,48
318,44.8
319,45.5
320,48.9
321,51.1
322,48.6
323,49.4
324,46.5
325,49.6
326,51.5
327,42.2
328,50.2
329,50.8
330,44.4
331,47.6
332,49.5
333,49.7
334,48.3
335,49
336,49.1
337,47.2
338,44.8
339,42.7
340,39.5
341,45.4
342,46.1
343,50
344,50.2
345,46.1
346,50.8
347,51.4
348,50.5
349,46.7
350,52.5
351,48.8
352,44.7
353,43.8
354,46.9
355,47.7
356,49.1
357,46.2
358,48.2
359,48.7
360,47.7
361,47.4
362,46.3
363,46.9
364,50.1
365,49.3
366,43.3
367,46.7
368,45.7
369,48.2
370,45.5
371,43.7
372,48.5
373,51
374,47.9
375,43.9
376,45.9
377,45.9
378,43.9
379,45.9
380,49.2
381,48.9
382,47
383,45.2
384,41.7
385,47.3
386,44.7
387,44.2
388,45.6
389,48.8
390,44.7
391,46.4
392,41.5
393,42
394,45.6
395,46.5
396,47.5
397,49.6
398,46.2
399,47.3
400,44.5
401,45
402,41.9
403,43
404,40.3
405,40.1
406,44.6
407,45.2
408,42
409,43.5
410,43.7
411,43.7
412,46.8
413,45.6
414,45
415,40.1
416,34.7
417,44.3
418,45.1
419,44.2
420,44.8
421,47.3
422,51.1
423,47.5
424,47.8
425,48.5
426,46
427,47.4
428,47.8
429,46.5
430,45.7
431,42.5
432,44.5
433,45.4
434,43.3
435,46.3
436,48.9
437,44.3
438,46.2
439,49.3
440,47.1
441,47.3
442,49.1
443,46.7
444,43.6
445,46.9
446,46.8
447,49.1
448,49.6
449,44.8
450,47.7
451,47.1
452,42.8
453,46.6
454,46.8
455,46.7
456,45.9
457,46.7
458,47.5
459,44
460,48.5
461,45.8
462,44.8
463,50.2
464,45
465,47
466,51.2
467,49.8
468,52
469,49.6
470,45.5
471,51.7
472,48.2
473,45.6
474,47
475,42.2
476,48
477,48.7
478,47.5
479,46.8
480,47.7
481,50.2
482,48.7
483,47.4
484,48.8
485,47.8
486,44.1
487,47.9
488,39.5
489,43
490,48.2
491,46.6
492,39.2
493,43.3
494,45.6
495,48.4
496,44
497,46.6
498,47.5
499,47.2
500,47.4
501,46.4
502,47.6
503,47.7
504,46.8
505,45.8
506,45.5
507,46.9
508,45.7
509,45.1
510,47
511,47.1
512,47.2
513,44.8
514,47.1
515,51.7
516,46.6
517,45.9
518,47.8
519,47.1
520,45.2
521,49
522,48.5
523,45.2
524,47.8
525,45.1
526,44.5
527,45.8
528,45.7
529,47.1
530,49.9
531,51.5
532,50.4
533,47.2
534,49.7
535,49.3
536,52.8
537,54.2
538,52.2
539,48.1
540,45.3
541,49.2
542,49.2
543,48.4
544,45.6
545,45.7
546,49.4
547,45.5
548,46.4
549,44.4
550,46.1
551,46
552,43.8
553,48.2
554,51.1
555,48.6
556,48.5
557,46
558,48.6
559,48.4
560,47.4
561,48.2
562,49.5
563,50.4
564,47.5
565,49.7
566,49.7
567,46.6
568,48.6
569,49.4
570,46
571,45.7
572,42.7
573,41.8
574,43
575,43.6
576,47.4
577,46.5
578,46.4
579,44.2
580,47.6
581,49.2
582,49.5
583,49.1
584,46.1
585,47
586,46.7
587,47
588,48.8
589,47.9
590,47.2
591,48.6
592,49.4
593,46.4
594,47.3
595,43.2
596,43.9
597,47
598,51.2
599,46.5
600,43.9
601,47.4
602,44.7
603,40.2
604,44.2
605,45.7
606,46.2
607,44.3
608,50.2
609,49.1
610,46.7
611,46.9
612,49.4
613,52.7
614,50.9
615,53.2
616,48.7
617,49.5
618,51.1
619,51.8
620,53.7
621,51.6
622,49.7
623,47.8
624,50.1
625,51.2
626,52.8
627,51.3
628,54.3
629,53.8
630,51.3
631,52.3
632,52.2
633,51
634,45.7
635,49.4
636,46.7
637,50.7
638,53.6
639,53.8
640,55.1
641,55.1
642,52.4
643,47.1
644,50.8
645,54.5
646,54.6
647,56.4
648,54.3
649,49.3
650,48.7
651,55.8
652,53.1
653,54.4
654,52.5
655,56.3
656,53.9
657,52.7
658,51.2
659,52.1
660,52.3
661,49.9
662,53.5
663,53.5
664,48.1
665,44.9
666,49.6
667,48.2
668,54.1
669,48
670,52.7
671,54.8
672,51.9
673,50.6
674,50.9
675,52.3
676,52
677,53.7
678,48.3
679,49.7
680,55.1
681,53.6
682,49.5
683,50.8
684,54.5
685,52.2
686,50.1
687,52.1
688,51.3
689,47.9
690,51.2
691,54.4
692,50.6
693,49.7
694,49.8
695,54.5
696,53.8
697,50.4
698,51.4
699,49.9
700,49.1
701,50.1
702,52.8
703,52.6
704,50.5
705,48.3
706,46.9
707,48.1
708,50.6
709,50.9
710,45.5
711,49.2
712,45
713,48.4
714,43.4
715,47.7
716,48
717,49.3
718,47.5
719,50.7
720,51.2
721,48.7
722,48.7
723,46.4
724,48.2
725,50.6
726,53.1
727,48.9
728,50.7
729,50.7
730,48.8
731,46.6
732,48.8
733,51.7
734,53.1
735,53.4
736,48.1
737,50.6
738,50.4
739,49.2
740,53.1
741,51.5
742,52.9
743,50.7
744,49.9
745,50.7
746,50.7
747,51.7
748,49.2
749,52.5
750,52.5
751,52.7
752,51.1
753,50.4
754,52.4
755,41.4
756,48.8
757,53.3
758,54.2
759,44.2
760,48.3
761,47.7
762,49.1
763,44.7
764,49.7
765,51.5
766,52.1
767,48.9
768,47
769,49.6
770,52.6
771,48.6
772,52.5
773,48.8
774,50.9
775,52
776,52.5
777,50.2
778,52.9
779,50.3
780,44.8
781,52.6
782,50.2
