freq,db
100,88.5
101,94.8
102,102.3
103,99.4
104,88.5
105,87.4
106,86.8
107,87
108,87
109,85.9
110,84.4
111,84.3
112,85.3
113,85.5
114,84.5
115,83.7
116,82.3
117,82.8
118,82.6
119,82.2
120,82.6
121,83.9
122,85
123,84.6
124,85.1
125,85.7
126,85.9
127,85.8
128,86.2
129,86.4
130,85.8
131,85.2
132,85.6
133,85
134,86
135,86.1
136,84.5
137,83.3
138,82.5
139,82.4
140,82.1
141,81.7
142,81.3
143,82
144,82.5
145,83.7
146,85.3
147,85.2
148,84.6
149,85
150,84.1
151,84.5
152,84.7
153,84.8
154,85.1
155,85.2
156,84.9
157,84.3
158,83.8
159,82.7
160,82.4
161,82.1
162,81.6
163,80.9
164,80.7
165,79.4
166,80
167,79.8
168,79.8
169,80.2
170,80.4
171,80.1
172,80.4
173,81.3
174,81.1
175,80.8
176,81.1
177,81.7
178,81.8
179,81.2
180,81.3
181,80.9
182,81
183,80.1
184,79.6
185,80.3
186,80.1
187,80.4
188,79.4
189,79.6
190,80.1
191,80.2
192,80
193,79.5
194,79
195,79
196,78.2
197,77.8
198,78.2
199,78
200,77.4
201,76.9
202,77.4
203,77.6
204,78.9
205,78.9
206,77.7
207,77.3
208,77.2
209,77.1
210,76.5
211,76.1
212,76.2
213,75.5
214,75.5
215,75.9
216,76.6
217,76.3
218,76.6
219,76.7
220,77.2
221,77
222,77.3
223,77.6
224,77.5
225,76.6
226,76.2
227,77
228,76.3
229,77.1
230,77
231,77.7
232,78.3
233,77.4
234,78.1
235,77.5
236,77
237,77.4
238,76.8
239,77.7
240,78.1
241,77.2
242,77.5
243,77.5
244,77
245,77.1
246,77
247,76.9
248,77
249,77.1
250,77.2
251,76.7
252,76.4
253,75.9
254,75.7
255,75.9
256,75.9
257,75.3
258,74.3
259,73.6
260,73.2
261,72.2
262,71.6
263,72.2
264,71.4
265,71
266,69.7
267,70
268,69.7
269,70.6
270,70.7
271,70.5
272,70.4
273,70.5
274,70.2
275,70.4
276,70.6
277,70.6
278,70.1
279,70.7
