freq,db
100,59.3
101,68.4
102,68.3
103,58.5
104,55.5
105,55
106,54.1
107,53.3
108,53.3
109,51.3
110,50.7
111,52
112,52.9
113,51.9
114,50
115,50.1
116,52.4
117,57.4
118,56.3
119,51.3
120,50.4
121,50.7
122,51.2
123,50.8
124,49.4
125,49.2
126,48.4
127,48.8
128,50.2
129,49.9
130,48
131,48.3
132,49.2
133,49.9
134,50.4
135,49.5
136,49.5
137,49.3
138,49.9
139,49.7
140,49.2
141,48.7
142,48.3
143,47.6
144,48.4
145,49.3
146,50.2
147,49.5
148,49.3
149,49
150,49.1
151,48.8
152,50.9
153,50.6
154,48.5
155,47.7
156,45.6
157,45.5
158,45.6
159,45.5
160,45.9
161,46.3
162,45.7
163,44.9
164,46.1
165,46.3
166,45.6
167,44.8
168,44.6
169,45.1
170,45.1
171,46.1
172,46.4
173,46.6
174,47.3
175,47.2
176,47.1
177,48.4
178,48.4
179,48.7
180,48.1
181,47.4
182,47.2
183,46.6
184,47.9
185,47.9
186,47.9
187,48.6
188,47.9
189,47.5
190,47.8
191,48.2
192,47.6
193,48.4
194,49
195,49.3
196,50.7
197,50.5
198,50.1
199,50.2
200,50
201,49.4
202,49.7
203,50.3
204,50.2
205,49.6
206,49.6
207,49.1
208,49.7
209,51.2
210,51
211,50.1
212,50.9
213,52.5
214,51.3
215,51.3
216,51.5
217,52.5
218,52.9
219,53.2
220,52.7
221,52.9
222,53.2
223,53.1
224,53.5
225,54.2
226,54.1
227,53.3
228,53.9
229,53.4
230,52.4
231,53.2
232,54.6
233,54.3
234,54.4
235,54.2
236,53.9
237,54.2
238,53.8
239,53.5
240,54
241,53.9
242,53.3
243,52.5
244,52.6
245,52.9
246,52.9
247,52.7
248,52.4
249,52.7
250,52.7
251,52.6
252,52.5
253,52.2
254,52.6
255,52.9
256,52.8
257,53.1
258,53.3
259,53.2
260,53.1
261,52.6
262,52.7
263,52.9
264,53
265,53.5
266,53.4
267,53
268,52.6
269,52.3
270,52.7
271,52.3
272,52.3
273,51.7
274,52.3
275,51.4
