freq,db
100,62.2
101,62.7
102,61.8
103,55.3
104,59.1
105,65.7
106,62.8
107,58.1
108,57.1
109,58.6
110,62
111,59.3
112,60.1
113,61.1
114,63.7
115,62.9
116,61.2
117,61.4
118,60.7
119,66.4
120,58.2
121,56.3
122,53.9
123,58.9
124,60.6
125,55.2
126,56
127,55.2
128,50.8
129,53.7
130,60.9
131,59.2
132,57.7
133,62
134,61.1
135,56.7
136,52.8
137,54.6
138,51.8
139,55.7
140,54.1
141,51.1
142,56
143,57.6
144,58.9
145,55.9
146,53.8
147,52
148,51.9
149,48.5
150,54.1
151,52.4
152,53.3
153,47.3
154,52.3
155,46.9
156,54.8
157,60.3
158,62.8
159,63.7
160,61.7
161,57.5
162,56.1
163,51.9
164,54.2
165,54.7
166,55.2
167,54.9
168,50.9
169,53.9
170,53.2
171,50.8
172,55.4
173,57.6
174,56.4
175,56.4
176,50.7
177,52.5
178,59.2
179,54.4
180,52.7
181,51.7
182,51.1
183,57
184,56.5
185,50.7
186,48.9
187,54.5
188,49.4
189,45.1
190,51.2
191,51.8
192,49.5
193,50.7
194,48.9
195,45.7
196,46.7
197,45.5
198,51.3
199,51.8
200,54.6
201,57.3
202,57.8
203,52.7
204,54
205,55.4
206,52.7
207,52.1
208,55.5
209,56.4
210,51.6
211,46.1
212,47.5
213,43.9
214,45.6
215,49.1
216,51.2
217,52.3
218,53
219,52.4
220,52.5
221,50.8
222,51.1
223,53.2
224,49.2
225,47.8
226,53.2
227,53.5
228,52.7
229,48.5
230,53.8
231,48
232,47.9
233,52.3
234,54.7
235,55.4
236,54.7
237,51.9
238,42.1
239,49.9
240,54.4
241,54.3
242,47.5
243,50.8
244,49.6
245,47
246,46.3
247,51.5
248,49.7
249,49.7
250,40
251,52
252,53.7
253,54.7
254,54.2
255,52.4
256,51
257,47.7
258,43.8
259,52.7
260,51.8
261,41.6
262,49.8
263,50.5
264,48.5
265,47.9
266,49.5
267,51.8
268,54.4
269,53.3
270,48
271,47.8
272,46.5
273,48.2
274,53.3
275,51.2
276,50.4
277,53.1
278,49
279,46.9
280,47.8
281,45.5
282,50.2
283,52.7
284,45.8
285,48.6
286,52.8
287,52.3
288,44.3
289,42.2
290,47.8
291,50.9
292,52.8
293,51.4
294,47.9
295,48.7
296,49.4
297,44.7
298,47.5
299,50.9
300,49.4
301,36
302,49.8
303,49.5
304,48.1
305,47.2
306,50.6
307,51.5
308,46.5
309,47
310,46.3
311,47.5
312,49.4
313,53.7
314,54.3
315,53.1
316,52.5
317,51.9
318,46
319,49.5
320,47.9
321,52.5
322,56.2
323,54.9
324,47.5
325,55.6
326,55.5
327,57.8
328,55.4
329,52.8
330,51.1
331,53.2
332,50
333,51.7
334,51.4
335,46.2
336,49.1
337,53.6
338,51.4
339,48
340,52.1
341,52.4
342,48.4
343,49.4
344,49
345,49.9
346,51.7
347,49.1
348,46.8
349,47.3
350,50.5
351,50.6
352,47.2
353,41.5
354,40
355,46.2
356,45.5
357,49.3
358,52.4
359,43
360,47.2
361,45.8
362,46.2
363,45.8
364,50.5
365,50.3
366,45.2
367,47.6
368,50.2
369,46.4
370,44.7
371,49.9
372,49
373,48.9
374,51.1
375,49.2
376,48.4
377,43.6
378,49
379,49.4
380,51.9
381,48.7
382,51.1
383,49.8
384,45.4
385,44.5
386,48.3
387,44
388,45.7
389,47.3
390,47.2
391,46
392,46.4
393,45.6
394,48.3
395,45.4
396,45.6
397,45
398,48.1
399,50.5
400,51.5
401,55.7
402,54.9
403,50.7
404,51
405,48.7
406,46.5
407,42.3
408,47.9
409,46.3
410,48.2
411,46.4
412,44.2
413,44.2
414,43.7
415,43.2
416,43.6
417,43.7
418,50.2
419,48.4
420,48.1
421,43.3
422,40.3
423,41.8
424,51.7
425,51.6
426,50.3
427,51.8
428,50.4
429,47.2
430,47.6
431,45.1
432,47.8
433,46.2
434,38.5
435,47.6
436,46.9
437,42.3
438,41.9
439,42.3
440,50.1
441,50.6
442,45.5
443,44.6
444,46.5
445,45.5
446,43.8
447,48.5
448,45.2
449,47.6
450,50.8
451,50.2
452,48.8
453,44.5
454,43.3
455,46
456,47.3
457,46.5
458,45.6
459,46
460,46.6
461,47.9
462,42.6
463,40.6
464,36.1
465,44.1
466,40.7
467,46.7
468,47.1
469,46.3
470,42.8
471,48.1
472,47.9
473,44
474,49
475,49.1
476,48.4
477,50
478,45.8
479,46.2
480,46
481,48.8
482,50.3
483,49.5
484,47.6
485,48.8
486,45.4
487,48.6
488,48.6
489,45.9
490,49
491,46.7
492,43.7
493,48.9
494,45.5
495,50.2
496,50.2
497,49.8
498,48.3
499,42.9
500,53.4
501,50
502,45.7
503,48.8
504,53.8
505,46.6
506,51.2
507,50
508,47.8
509,49.3
510,52.6
511,49.3
512,50.3
513,50.5
514,50
515,46.2
516,50.2
517,49.6
518,52.3
519,45.9
520,48.4
521,49.1
522,49.3
523,46.6
524,44.3
525,51
526,49
527,44.7
528,46
529,41.5
530,47.9
531,46.8
532,50.2
533,45.1
534,49
535,50.4
536,52.7
537,43.6
538,49.6
539,44.7
540,48
541,50.2
542,51.6
543,47.7
544,42.7
545,47.2
546,48.5
547,49.2
548,46.7
549,48
550,43.4
551,36.2
552,38.2
553,47.5
554,33.5
555,41.1
556,46
557,47.7
558,35.3
559,46.3
560,45.1
561,47.2
562,49.5
563,46
564,46.1
565,42.8
566,41.2
567,44
568,48.2
569,52.4
570,50.6
571,46.1
572,52.6
573,47.2
574,44.6
575,43.5
576,50
577,48.8
578,46.7
579,51.2
580,50.4
581,47.6
582,44.7
583,53.9
584,52.8
585,47.3
586,50.7
587,50.8
588,51.2
589,48.4
590,52.2
591,52.3
592,52
593,51.5
594,48.8
595,54.2
596,53.2
597,51.5
598,51.4
599,52.8
600,53.1
601,50
602,52.6
603,51.1
604,50.5
605,50.4
606,49
607,51.4
608,49.8
609,54.8
610,51.1
611,46
612,46.6
613,50.5
614,52.9
615,44.2
616,49.8
617,49.3
618,41.2
619,47.8
620,48.2
621,49.1
622,49.8
623,49.4
624,49.4
625,48.4
626,53.3
627,49.9
628,47.8
629,48.1
630,51.1
631,53.9
632,49.8
633,48.3
634,49.8
635,54.2
636,56.8
637,54.3
638,55.1
639,52.4
640,55.3
641,54.5
642,55.3
643,52.9
644,54.3
645,56.5
646,53.1
647,55.9
648,54.6
649,57.1
650,55.1
651,53.8
652,56.3
653,48.7
654,52.9
655,49.1
656,50.5
657,47.8
658,54.1
659,55.2
660,48.7
661,51.8
662,48
663,53.9
664,53.6
665,47.2
666,48.1
667,49
668,52
669,44.2
670,53.6
671,53.8
672,46.8
673,52.2
674,48.9
675,46.2
676,46.8
677,49.6
678,44.8
679,49.7
680,51.2
681,47.1
682,51.4
683,47.2
684,51.3
685,50.3
686,46.7
687,50.1
688,47.5
689,49.8
690,49.5
691,43.4
692,46.5
693,51.6
694,53.9
695,40.9
696,55
697,52.7
698,51
699,50.1
700,52
701,54.8
702,45.6
703,54
704,51.2
705,51.8
706,50.6
707,54.1
708,52.8
709,47.4
710,50.1
711,47.9
712,55.2
713,49.3
714,54.1
715,51.1
716,46.7
717,46.5
718,53.7
719,53.3
720,43.9
721,52
722,50.9
723,55.9
724,50.9
725,53.9
726,48.5
727,47.9
728,49
729,50.6
730,48.7
731,51.4
732,53.7
733,47.7
734,51.5
735,46.3
736,53
737,48.5
738,52
739,46.4
740,51
741,49.9
742,51
743,49.5
744,46
745,50.9
746,49.2
747,49.2
748,46
749,52.7
750,47.8
751,47.7
752,40.9
753,53.3
754,53.6
755,52.7
756,46.6
757,48.5
758,51.7
759,52.9
760,54.3
761,51
762,54.2
763,55
764,51.8
765,52
766,57.6
767,55.5
768,57.3
769,55.8
770,54.3
771,49.4
772,56.5
773,55.8
774,57
775,53.9
776,56
777,53.2
778,53.6
779,55.6
780,58.7
781,56.3
782,54.7
783,52.5
784,53.6
785,55.4
786,58
787,57.7
788,58.2
789,57.6
790,54.5
791,53.8
792,56.2
793,57.8
794,59.4
795,58.8
796,58.7
797,56.6
798,55.3
799,60.1
800,62.1
801,62.1
802,61.8
803,60.4
804,59.4
805,59.4
806,59.5
807,60.9
808,61.3
809,61.3
810,59.7
811,58
812,58.7
813,61.6
814,62.9
815,63.7
816,63.1
817,62.8
818,62.4
