freq,db
100,42.3
101,62.6
102,64.4
103,64.7
104,67.8
105,63.9
106,56
107,55.7
108,60.2
109,57.4
110,54.6
111,61.9
112,62.3
113,59.9
114,58.6
115,61.4
116,55.3
117,56.2
118,54.1
119,57.3
120,57.6
121,56.9
122,62.2
123,59.7
124,58.2
125,52.6
126,57.7
127,58.1
128,63.2
129,64.2
130,58.4
131,59.1
132,63.3
133,58.6
134,66.8
135,65.5
136,59.4
137,61.2
138,62.5
139,62.1
140,59.9
141,51.8
142,55.9
143,56.7
144,51.5
145,54.9
146,51.7
147,60.8
148,56.3
149,55.9
150,56.9
151,57.5
152,56.4
153,56.7
154,50.2
155,48.8
156,58.5
157,57.6
158,52.4
159,56.6
160,59.8
161,54.4
162,59.9
163,62.3
164,62.7
165,62
166,59.2
167,54.6
168,48.1
169,53
170,50.3
171,52.8
172,59.2
173,61.7
174,51.3
175,58.4
176,56.2
177,58.3
178,60.4
179,59.4
180,57.1
181,52.7
182,52.8
183,55.1
184,61.8
185,58.4
186,49
187,56.7
188,58.5
189,57.5
190,52.1
191,48.6
192,53.5
193,51.3
194,55.9
195,58
196,61.5
197,64.1
198,61.1
199,53.4
200,59.2
201,58.2
202,58.2
203,52.3
204,46.9
205,53.5
206,60.6
207,56.9
208,50.3
209,53.8
210,56.3
211,50.5
212,53.4
213,50.6
214,49.4
215,42.8
216,48.4
217,54.1
218,50.5
219,51.4
220,52.4
221,50.3
222,53
223,52.8
224,56.7
225,58.8
226,57.8
227,58.7
228,56.9
229,58.7
230,44.9
231,48.4
232,57.6
233,59.1
234,56
235,52.3
236,54.3
237,52.8
238,53.9
239,59.1
240,61.6
241,58
242,49.8
243,49.7
244,50.1
245,52.6
246,51.9
247,54.4
248,47.5
249,44.7
250,52.7
251,55.3
252,57.3
253,57.3
254,57.4
255,56.6
256,51.9
257,53.5
258,53.5
259,53.6
260,51.5
261,51
262,55.4
263,56.7
264,52.1
265,53.1
266,55.8
267,57.8
268,60.6
269,55.6
270,47.9
271,50.1
272,51.4
273,54.5
274,53.4
275,52.5
276,53.3
277,52.1
278,48.3
279,48.2
280,46.7
281,50.9
282,53.8
283,52.7
284,53.3
285,55.8
286,53
287,53.9
288,55.5
289,54.4
290,54.6
291,52.2
292,55.9
293,57.7
294,54.3
295,53.6
296,51.2
297,52.9
298,53.4
299,49.7
300,51.3
301,51.2
302,47.3
303,51.4
304,53.1
305,50.4
306,46
307,48.8
308,52.6
309,53.2
310,51.5
311,53.7
312,50.8
313,50.7
314,49.4
315,48.3
316,48.4
317,47.6
318,53
319,52.1
320,47.1
321,49
322,47.8
323,49.4
324,48.6
325,37.5
326,49.4
327,49.8
328,50.9
329,53.6
330,52.7
331,53
332,51.3
333,48.2
334,46.5
335,46.4
336,49.8
337,51.7
338,49.5
339,49.3
340,49.5
341,48.4
342,49
343,48.3
344,40.8
345,43.3
346,47.7
347,51.4
348,49.6
349,47.3
350,50.7
351,47.3
352,47.4
353,47.9
354,49.5
355,51.7
356,49.6
357,50
358,50
359,48.3
360,49.5
361,52.4
362,51.8
363,47.8
364,43.2
365,46.2
366,50.4
367,51.8
368,47.2
369,48.5
370,50.6
371,50.9
372,49.4
373,50.6
374,52.5
375,48
376,46.7
377,44.5
378,44.2
379,38
380,52.3
381,51.7
382,47.5
383,37.9
384,47.5
385,48.9
386,46.6
387,47.1
388,46.6
389,45.1
390,44.4
391,48.8
392,48.3
393,47.5
394,47.5
395,45.9
396,44.7
397,44.5
398,47.1
399,46.6
400,47.2
401,47.4
402,42.7
403,44.7
404,43.4
405,44.8
406,48.8
407,50.9
408,46.9
409,50.2
410,47.4
411,52.4
412,53.2
413,49.8
414,51
415,47.7
416,39.7
417,45.5
418,50.8
419,50.7
420,49.5
421,48.1
422,42.3
423,44.3
424,48.7
425,50.5
426,47.3
427,45.6
428,44.2
429,42.7
430,48.8
431,46.8
432,43.5
433,45.5
434,48.6
435,44.9
436,42.8
437,40.8
438,43.2
439,42.9
440,41.3
441,51.3
442,48.8
443,45.7
444,50.7
445,49
446,49.3
447,51.2
448,45.4
449,51
450,48.6
451,45.9
452,43.4
453,45.5
454,47.3
455,50.5
456,51.6
457,49.9
458,44.4
459,43
460,44.1
461,41.6
462,43.6
463,41.4
464,46.4
465,46
466,42.6
467,38.8
468,42.8
469,48.3
470,48.7
471,47
472,47
473,46
474,42.3
475,47
476,44.5
477,48.9
478,49
479,47
480,49.8
481,46.2
482,42.7
483,46.6
484,46
485,49.6
486,50.6
487,48.4
488,45.7
489,47.2
490,51.2
491,52.1
492,48.2
493,47.1
494,49.2
495,46.8
496,46.3
497,46.7
498,42.6
499,44.5
500,43.6
501,36.7
502,44.4
503,48.9
504,47.4
505,47.5
506,47.9
507,45.6
508,46.4
509,49.9
510,50.4
511,46.5
512,44.8
513,41.9
514,44.6
515,48
516,48.3
517,44.8
518,44
519,48.5
520,49.7
521,47.9
522,50.4
523,47.6
524,50.2
525,45.4
526,39.8
527,44.9
528,44.3
529,43.4
530,46.5
531,45.8
532,45.1
533,45.7
534,48.4
535,48.1
536,48.9
537,38.4
538,41.7
539,45.2
540,46.9
541,46.4
542,49.1
543,46.5
544,48.4
545,49.4
546,46
547,41.5
548,32.9
549,41.2
550,41.7
551,42.7
552,46.5
553,40
554,44.1
555,45.7
556,40.8
557,41.6
558,46
559,42.9
560,45.7
561,51.1
562,53.4
563,50.8
564,47.5
565,42.4
566,40.7
567,39.9
568,41.1
569,45.4
570,45.1
571,38.9
572,43
573,43.8
574,46
575,46.5
576,41.9
577,46.2
578,45.5
579,43.3
580,45.8
581,44.6
582,42
583,41.4
584,40.4
585,50.9
586,51.4
587,44.9
588,50.5
589,47
590,45.1
591,46
592,43.3
593,51.4
594,52
595,52
596,52.3
597,45.2
598,44.2
599,46.4
600,46.4
601,45.3
602,46.6
603,47.5
604,44.7
605,46.1
606,46.3
607,49.4
608,51.5
609,49.3
610,46.2
611,49.4
612,50
613,50.2
614,48.7
615,47.8
616,47
617,43.6
618,47.2
619,49.9
620,41.9
621,47
622,48.9
623,48.7
624,51.2
625,49.9
626,49.9
627,48.4
628,49.8
629,51.6
630,48
631,44.6
632,45.1
633,43.8
634,44.1
635,43.8
636,43.7
637,38.5
638,37.4
639,41
640,40
641,43.1
642,41.2
643,33.6
644,42.6
645,45.2
646,49.7
647,48.3
648,44.8
649,38.7
650,44.9
651,42.6
652,41.7
653,46.4
654,48.9
655,48.4
656,44.3
657,41.5
658,39.4
659,36.8
660,41.2
661,42.5
662,41.7
663,40.9
664,42.1
665,49.6
666,47.3
667,44.6
668,43.2
669,42.9
670,43.6
671,46.6
672,41.9
673,45.8
674,45.8
675,42.7
676,42
677,43.4
678,43.5
679,48.5
680,48
681,46.1
682,42
683,45.5
684,49.1
685,43.8
686,41.7
687,44.6
688,43.2
689,40.7
690,36.4
691,39.1
692,41.9
693,41.1
694,42.3
695,48.5
696,48.6
697,43.5
698,43.1
699,45
700,37.2
701,44.3
702,44.4
703,46.9
704,48
705,49.7
706,47.3
707,45.9
708,49.5
709,48.9
710,48.4
711,48.7
712,46.8
713,35.5
714,38.8
715,39.2
716,36.8
717,37.2
718,42
719,41.8
720,43
721,38.9
722,43
723,45.5
724,44.5
725,46.8
726,40.9
727,42.1
728,43.4
729,44.1
730,43.3
731,42.2
732,37.6
733,40.3
734,38.5
735,41.4
736,41.2
737,44.1
738,37.3
739,41.7
740,44.9
741,39
742,41.2
743,46.2
744,45
745,39.8
746,44.3
747,46.2
748,42.1
749,43.8
750,46.4
751,47.3
752,45.2
753,47.3
754,48.2
755,49.2
756,50.6
757,46.2
758,43.9
759,42.4
760,45.5
761,41.8
762,45.9
763,42.4
764,44.9
765,47.7
766,45.9
767,48.9
768,45.9
769,42.2
770,45
771,43.2
772,43.4
773,45
774,41.1
775,41.8
776,48.4
777,48.5
778,47.7
779,47.4
780,44.4
781,41.2
782,43.7
783,45.9
784,47.5
785,46.1
786,40.9
787,41.4
788,42.3
789,49
790,49.5
791,43.3
792,40.8
793,40.8
794,45.5
795,46.6
796,46.1
797,47.9
798,47.7
799,42.6
800,41.6
801,42.5
802,47.3
803,47.4
804,49.5
805,51.4
806,47.4
807,43.4
808,47.2
809,42.5
810,48.6
811,45.6
812,43.2
813,42.7
814,46.5
815,50.8
816,52.2
817,50.4
818,47
819,43.9
820,43.1
821,45.7
822,44.7
823,40.8
824,47.4
825,44.6
826,45.5
827,45.9
828,44.7
829,44.7
830,45.3
831,46.1
832,44.6
833,47.5
834,50.2
835,50.2
836,46.4
837,43.9
838,48.8
839,51.3
840,48.9
841,41.9
842,42.3
843,47.4
844,40.8
845,40.7
846,45.1
847,49.3
848,46.1
849,42.2
850,43.9
851,49
852,52.4
853,54.7
854,55.2
855,55.5
856,56.4
857,55.3
858,53.1
859,55.1
860,57.5
861,57.2
862,54.5
863,50.4
864,53.8
865,57
866,56.9
867,55.6
868,56.7
869,62.1
870,62.8
871,60.1
872,57.1
873,60.5
874,65.8
875,66.8
876,62.2
877,60.1
878,62.5
879,66.2
880,65.4
881,63.6
882,61.9
883,60.5
884,52.7
885,58.9
886,52.5
887,48.7
888,59.8
889,58.2
890,64.9
