freq,db
100,70.4
101,72.6
102,78.1
103,75.8
104,77.1
105,83
106,84.2
107,80.5
108,84.4
109,79.7
110,81.7
111,84.8
112,76.6
113,80.4
114,83.4
115,84.7
116,84.3
117,83.6
118,76.7
119,77.1
120,72.9
121,72.2
122,68.8
123,71.3
124,79.6
125,74.9
126,71.2
127,78.2
128,81.6
129,77.9
130,71.9
131,72.8
132,71.1
133,75.8
134,77.2
135,78.1
136,63.1
137,68.8
138,82.4
139,86.6
140,80.6
141,73.7
142,68
143,61.9
144,75
145,76.6
146,76.7
147,74
148,76.8
149,76.3
150,69.9
151,70.7
152,69.5
153,67.8
154,80.3
155,79.2
156,67
157,60.3
158,61.3
159,69.8
160,71.2
161,67.7
162,73.2
163,69.5
164,65.5
165,61.4
166,63.6
167,60.9
168,60.9
169,66
170,75.6
171,77.5
172,72.2
173,74.2
174,79.5
175,79.7
176,76.8
177,73.7
178,67
179,69.7
180,67.8
181,64.3
182,73
183,68.5
184,66.9
185,68
186,63.2
187,70.2
188,61.3
189,62
190,67.2
191,66.3
192,58.5
193,64.2
194,64.3
195,65.1
196,64.5
197,64.2
198,63.5
199,70.1
200,71
201,67.6
202,68.9
203,66.4
204,55.7
205,65.6
206,57.3
207,64.1
208,72
209,72.3
210,65.3
211,65
212,69.3
213,67
214,58.1
215,60.6
216,65
217,64.3
218,67.9
219,66.9
220,59.5
221,75.3
222,75.2
223,65.6
224,68.7
225,68.8
226,70.6
227,69.2
228,64
229,63.9
230,70.9
231,72.1
232,72.4
233,70.7
234,73.1
235,73.9
236,71.2
237,72.7
238,71.6
239,64.4
240,69.8
241,69.3
242,59.5
243,58.5
244,61.4
245,65.7
246,63.6
247,65.9
248,64
249,65.8
250,60.4
251,65.3
252,64.9
253,67.9
254,74.2
255,73.5
256,62.6
257,68.1
258,67.7
259,60
260,62.7
261,60.8
262,55.5
263,49.4
264,44.6
265,53
266,63.4
267,64.8
268,62.4
269,67
270,70.3
271,72.7
272,62.7
273,69.2
274,70.2
275,69.3
276,61.1
277,65.8
278,63.1
279,63.9
280,61.7
281,63.7
282,65.5
283,63
284,62.6
285,62.7
286,60.5
287,64.2
288,60
289,63.3
290,63.7
291,63.6
292,66.7
293,60.1
294,66.6
295,64.4
296,66.3
297,71.6
298,68.1
299,55.8
300,70
301,70.4
302,66.6
303,66.1
304,59.1
305,64.7
306,59.5
307,53.8
308,57.2
309,55.8
310,63.5
311,63.9
312,59.9
313,55.7
314,66.8
315,63.2
316,61
317,58
318,56
319,55.9
320,63.9
321,64.9
322,63.3
323,62.4
324,61.9
325,58.4
326,63.2
327,65.4
328,64.4
329,63.1
330,62.4
331,64.6
332,65.6
333,61.2
334,57.7
335,63.4
336,59.8
337,62
338,65.7
339,57.7
340,64.4
341,62.6
342,57.8
343,62.2
344,60.1
345,54.5
346,66.2
347,71.2
348,71.3
349,65.3
350,63.8
351,66.2
352,67.6
353,61.9
354,62.7
355,66.2
356,53.7
357,63.3
358,64.2
359,65.5
360,63.2
361,63.3
362,67.4
363,65.3
364,60.7
365,58.1
366,49.9
367,54.6
368,61.1
369,60.8
370,61.9
371,57.3
372,57
373,64
374,63.2
375,58.9
376,56
377,63.5
378,66.8
379,70.9
380,71.1
381,65
382,60.8
383,62.5
384,65.9
385,70.3
386,68.7
387,55.5
388,64.8
389,62.1
390,62.6
391,64.6
392,63.4
393,61
394,65.3
395,66.4
396,63.7
397,65.8
398,62.5
399,51.9
400,55.4
401,61
402,56.6
403,53.9
404,61.3
405,60.1
406,55.3
407,57.6
408,52.7
409,49.6
410,56
411,62.5
412,64.6
413,63
414,60.4
415,65.5
416,67.4
417,64.9
418,54.2
419,64.6
420,60.5
421,64.7
422,62.5
423,58.9
424,63.6
425,65.5
426,63.6
427,60.2
428,63.6
429,59.5
430,57.9
431,65.6
432,68.3
433,64.6
434,61.3
435,65.5
436,58
437,58.8
438,60.5
439,58.2
440,59.3
441,58
442,51.3
443,53.6
444,57.3
445,56.3
446,60.7
447,63
448,57.3
449,56.8
450,57
451,56.1
452,59.1
453,63.1
454,68.5
455,68.1
456,65.3
457,60.4
458,60.6
459,62.9
460,57.3
461,57.9
462,56.8
463,66.5
464,61.3
465,56.4
466,63.5
467,62.4
468,48.6
469,58.8
470,63.3
471,58.5
472,62.1
473,59
474,58.3
475,61.3
476,59.2
477,57.3
478,66.5
479,63
480,60.2
481,61.1
482,59.7
483,64.9
484,66.5
485,61.3
486,49.3
487,50.8
488,62.4
489,65.8
490,62.6
491,58.9
492,66.6
493,68.4
494,63.1
495,58.1
496,61.2
497,59.3
498,55.5
499,57.5
500,63.2
501,60.9
502,58.4
503,57.9
504,58.9
505,64.3
506,61.6
507,61
508,60.7
509,52.7
510,57.9
511,63.7
512,68.5
513,64.8
514,62.1
515,63.1
516,59
517,63.7
518,62.1
519,61.8
520,60.8
521,56
522,57.4
523,56.8
524,59.9
525,60.8
526,57.4
527,66.1
528,64
529,59.3
530,63.2
531,67.5
532,69.8
533,68.3
534,65.9
535,63.1
536,55.5
537,55.7
538,58.8
539,62.1
540,64.5
541,63.9
542,58.4
543,57.7
544,64
545,65.4
546,63
547,61.3
548,56.8
549,46.1
550,53.1
551,53.7
552,53.5
553,47.1
554,57.8
555,63.9
556,58.5
557,59.6
558,62.2
559,58.8
560,56.8
561,59.5
562,63.8
563,63.4
564,59.6
565,56.6
566,57
567,59.2
568,55
569,62.2
570,66
571,60.6
572,57.9
573,64.2
574,64.1
575,64.8
576,60.3
577,61.6
578,65.1
579,55.9
580,56.5
581,61.2
582,66.1
583,67
584,58.9
585,63.7
586,66.7
587,62.8
588,58.4
589,63.9
590,64.4
591,63.8
592,60.4
593,63.1
594,62.1
595,58.6
596,56.3
597,57.2
598,60.1
599,58.7
600,58.9
601,63.1
602,63.8
603,56.7
604,56.8
605,54.7
606,49.2
607,55.6
608,62.1
609,64.7
610,55.4
611,41.5
612,55.9
613,53.4
614,58.5
615,57.4
616,64
617,68.7
618,65.9
619,58.4
620,52.1
621,53.3
622,65.1
623,66.5
624,63.5
625,62.7
626,58
627,63
628,59.1
629,55
630,56.5
631,62.3
632,55.5
633,53.9
634,54.7
635,58.1
636,59.6
637,58.4
638,57.2
639,56.1
640,61.4
641,60.5
642,52.7
643,54.7
644,49.7
645,55.6
646,59.3
647,58.7
648,54.4
649,58.4
650,63.2
651,56.5
652,57.2
653,54.3
654,58
655,54.6
656,49
657,51.2
658,58.4
659,58.6
660,56.8
661,53.9
662,54.6
663,62.5
664,63
665,63.5
666,60.6
667,58.9
668,56.4
669,60.1
670,63.1
671,58.9
672,46.6
673,52.9
674,59
675,60.6
676,60.4
677,63
678,59.6
679,57.1
680,56.6
681,55.2
682,52.7
683,57.9
684,56.1
685,62
686,64.5
687,61.8
688,56.7
689,60
690,62.7
691,59
692,61.1
693,65.7
694,61.8
695,51.6
696,50
697,53.7
698,57.2
699,61.9
700,62.3
701,65.7
702,64.4
703,55.2
704,53.8
705,58.8
706,64
707,64.9
708,59.5
709,64.4
710,59.9
711,63.1
712,61.8
713,58.9
714,56.6
715,62.8
716,62.4
717,54.2
718,51.8
719,59.5
720,60.8
721,53.9
722,52.2
723,59.1
724,52.4
725,52.3
726,55.1
727,61.3
728,65.1
729,62.8
730,60.4
731,51.8
732,56.2
733,59.8
734,58
735,55.4
736,53.1
737,61.9
738,61.9
739,55.8
740,51.6
741,50.3
742,62.6
743,57.1
744,53.3
745,57.1
746,58.8
747,56.5
748,59.9
749,48.8
750,55.2
751,58.1
752,56.7
753,56.1
754,56.1
755,53.7
756,50.2
757,56.4
758,57.2
759,58.9
760,55.6
761,55.9
762,56
763,51
764,50.3
765,55.7
766,60.9
767,58.8
768,60.8
769,57.6
770,56.2
771,55.4
772,47.3
773,57
774,59.2
775,54
776,56.4
777,58.9
778,57.9
779,55.9
780,55.2
781,54.8
782,50.6
783,49.7
784,46.9
785,48.5
786,53.2
787,53.8
788,54.4
789,60
790,60.5
791,56.9
792,53.2
793,47.1
794,54.1
795,54.4
796,53.8
797,53.6
798,54.5
799,54.3
800,58.9
801,54.7
802,57.3
803,59.4
804,56
805,54.9
806,59.8
807,63.5
808,63.6
809,59.7
810,60.1
811,57.4
812,48.2
813,55.2
814,64.3
815,65.6
816,58.6
817,51.5
818,60.5
819,57.9
820,59.1
821,54.7
822,54.2
823,53.8
824,64
825,63.5
826,55.7
827,56.8
828,55
829,55.4
830,55.5
831,58.8
832,62.7
833,58.9
834,53.8
835,56.2
836,58.5
837,62.6
838,58.5
839,57.4
840,64.5
841,66.3
842,61.3
843,58
844,57.6
845,55.2
846,56.7
847,63.4
848,61.5
849,60
850,57.4
851,61.8
852,55.6
853,52.6
854,54.2
855,63.7
856,63.8
857,68
858,67.5
859,58.8
860,61.8
861,64.4
862,59.3
863,59
864,58.6
865,53.1
866,58
867,60.1
868,59.1
869,60.6
870,62.2
871,63.7
872,63.4
873,60.4
874,59.8
875,61.5
876,59.3
877,58.6
878,56.1
879,60.6
880,60.5
881,55.5
882,56.3
883,55.9
884,50.4
885,60
886,60.1
887,53.8
888,56.2
889,56.8
890,57
891,56.1
892,58.4
893,60.2
894,61.3
895,58.2
896,59.4
897,56.6
898,57
899,60.1
900,55.7
901,58.9
902,55.3
903,57.6
904,55.8
905,55
906,53
907,48.4
908,50
909,53.3
910,54.3
911,51.7
912,58.2
913,52.3
914,59.2
915,55.2
916,58.6
917,54.8
918,54.6
919,49.9
920,58.3
921,46.4
922,48.3
923,56.2
924,51
925,53.2
926,57
927,52.9
928,60.1
929,62.5
930,54.8
931,52.9
932,59.9
933,57.1
934,56.9
935,57.9
936,56.3
937,60.5
938,63.7
939,49.9
940,50.2
941,59.4
942,57.9
943,57.3
944,57.3
945,50.2
946,59.9
947,55.9
948,54.7
949,58.4
950,57
951,53.7
952,58.5
953,62.1
954,53.8
955,58.7
956,55.5
957,58.3
958,51
959,61.7
960,57.7
961,55.4
962,55.3
963,47
964,54.9
965,55.1
966,59
967,59.3
968,55.4
969,57.7
970,62
971,62.5
972,62.6
973,63.1
974,57.5
975,50.6
976,56.3
977,59.9
978,57.3
979,61.1
980,63.3
981,61.3
982,56.6
983,53.5
984,53.5
985,49.4
986,58.5
987,58.6
988,54.3
989,57.8
990,50.3
991,53.6
992,55.9
993,55.3
994,52.9
995,50.4
996,43.9
997,49.3
998,58
999,59.9
1000,59.6
1001,58.4
1002,60.2
1003,59.8
1004,57.1
1005,50.3
1006,47.7
1007,56
1008,56.2
1009,53.1
1010,54.6
1011,54.8
1012,51.7
1013,50.4
1014,57.2
1015,56.4
1016,62.1
1017,63.2
1018,59.6
1019,56.5
1020,48.6
1021,47.8
1022,56.5
1023,57.3
1024,54.6
1025,55.6
1026,55
1027,53.1
1028,55.5
1029,58.5
1030,57.8
1031,52.4
1032,48.8
1033,45.5
1034,47.1
1035,54.9
1036,54.5
1037,53.9
1038,40.8
1039,53.6
1040,57.9
1041,59.5
1042,54.5
1043,49.1
1044,56.2
1045,55.3
1046,53.2
1047,57.9
1048,59.4
1049,60.1
1050,59.4
1051,51.3
1052,56.2
1053,56.4
1054,53.9
1055,47.1
1056,48.3
1057,44.8
1058,47.6
1059,55.4
1060,56.4
1061,50.6
1062,49.9
1063,45.9
1064,54.1
1065,51.8
1066,46.4
1067,53
1068,54
1069,44.5
1070,48.5
1071,48.1
1072,55.9
1073,56.8
1074,52.6
1075,47.2
1076,53.3
1077,53.1
1078,41.5
1079,54
1080,58.9
1081,56.9
1082,51.7
1083,49.2
1084,51.7
1085,52.6
1086,56
1087,54.2
1088,55
1089,55.5
1090,52.9
1091,53.5
1092,53.8
1093,51.8
1094,52.4
1095,50.8
1096,56.5
1097,56.2
1098,57
1099,58.3
1100,52.9
1101,56.7
1102,55.1
1103,53.7
1104,57.8
1105,56.9
1106,51.7
1107,47.7
1108,52.7
1109,59
1110,63
1111,62.1
1112,49.3
1113,55.3
1114,58.6
1115,60.6
1116,56.7
1117,53.7
1118,56.5
1119,61.2
1120,64.6
1121,60.3
1122,50.3
1123,47.3
1124,57
1125,57.7
1126,55.9
1127,59.3
1128,57.3
1129,54.9
1130,62.5
1131,57.7
1132,61
1133,66.6
1134,61.8
1135,53.9
1136,49.7
1137,55.7
1138,57.9
1139,56.7
1140,60.6
1141,58.9
1142,53.6
1143,51.7
1144,51.5
1145,55
1146,45.6
1147,60.6
1148,62.6
1149,57.7
1150,54
1151,54.6
1152,58.3
1153,54.2
1154,54.2
1155,59.5
1156,58.4
1157,51.4
1158,50
1159,55
1160,52.1
1161,49.8
1162,55.9
1163,50.1
1164,55.6
1165,58.4
1166,40.9
1167,58.4
1168,55.9
1169,51.4
1170,55.2
1171,50.7
1172,56.3
1173,62.9
1174,61.4
1175,54.9
1176,47.9
1177,50.4
1178,45.8
1179,53.6
1180,50.4
1181,55.7
1182,59.1
1183,59.6
1184,55.9
1185,49.6
1186,54.9
1187,57.4
1188,58.8
1189,55.2
1190,58.5
1191,61.4
1192,57.1
1193,51
1194,60.5
1195,61.2
1196,60.1
1197,52.5
1198,56.8
1199,51.3
1200,45.7
1201,55.2
1202,52.2
1203,44.9
1204,49.8
1205,55.5
1206,51.1
1207,49.1
1208,43.3
1209,50.8
1210,50.1
1211,57.1
1212,57.5
1213,53
1214,50.1
1215,55.1
1216,58.3
1217,53.5
1218,55.5
1219,46.9
1220,48.8
1221,51.8
1222,52.6
1223,49
1224,44.8
1225,47.1
1226,54.6
1227,54.4
1228,48.7
1229,52.7
1230,45.6
1231,59.4
1232,61.2
1233,56.7
1234,51.7
1235,48
1236,55
1237,56.5
1238,54.9
1239,51.2
1240,60.5
1241,58.5
1242,51.8
1243,61
1244,60.4
1245,61
1246,59.1
1247,46.6
1248,48.7
1249,54.5
1250,57.5
1251,55.6
1252,51.3
1253,50.2
1254,48.5
1255,51.8
1256,59.1
1257,57
1258,58.1
1259,59.3
1260,57.5
1261,58.2
1262,58.1
1263,52.9
1264,54.5
1265,50
1266,54.6
1267,57.8
1268,53
1269,47.4
1270,52.4
1271,56.6
