freq,db
100,63.5
101,58.8
102,57.3
103,57.4
104,55.8
105,50.9
106,57.5
107,61.2
108,66.1
109,65.2
110,63.2
111,53.3
112,60.5
113,57.6
114,56.5
115,54.4
116,55.8
117,60.2
118,61.1
119,59.3
120,61
121,57.6
122,55.9
123,61.2
124,59.7
125,53.4
126,54.8
127,63.6
128,56.4
129,60.1
130,59.9
131,57.7
132,54.6
133,61.2
134,61.3
135,61.3
136,60.1
137,59
138,55.3
139,54.7
140,52.7
141,52.4
142,59
143,57.2
144,53.1
145,58.6
146,54.6
147,58
148,60.8
149,61.5
150,58.7
151,54.1
152,56.3
153,58.9
154,59.7
155,55.2
156,55.2
157,62.2
158,62.7
159,63.7
160,65.5
161,62.4
162,49.5
163,54.7
164,55.9
165,50.2
166,50.1
167,50.4
168,51.2
169,51.4
170,55.8
171,57.4
172,57.9
173,61.2
174,61.8
175,58.7
176,57.5
177,56.9
178,50.3
179,53.7
180,47.8
181,53.4
182,56.2
183,54.8
184,56.1
185,60.4
186,60.3
187,58.5
188,57.9
189,50.9
190,43.4
191,54
192,59.6
193,57
194,50.3
195,51.9
196,54.6
197,58.9
198,44
199,49.1
200,52
201,54.2
202,56.4
203,60
204,61
205,54.3
206,52.4
207,51.2
208,51.3
209,56.7
210,50.2
211,57
212,58.3
213,54.9
214,49.4
215,51.3
216,50.8
217,53.8
218,58
219,48
220,54.8
221,51.4
222,47.2
223,52
224,57.4
225,59.7
226,58.4
227,61
228,50.9
229,53.3
230,50.4
231,50.6
232,41.4
233,52.8
234,51.8
235,48.6
236,44.1
237,50.9
238,57.2
239,53.8
240,55.5
241,54
242,60
243,47.5
244,53.1
245,52.4
246,51.7
247,51.2
248,54.2
249,57.3
250,57
251,50.3
252,51.6
253,53
254,47.9
255,46.3
256,48
257,46.2
258,51.8
259,53.4
260,49.1
261,53.9
262,51
263,49.9
264,50.1
265,52.6
266,55.8
267,54.1
268,51.7
269,50.2
270,54.2
271,49.7
272,55.3
273,50.5
274,55.6
275,50.8
276,49.2
277,48.7
278,54.7
279,54.6
280,47.4
281,50.1
282,48.7
283,54.4
284,38.8
285,58.6
286,54
287,45.5
288,51.9
289,42.7
290,52.9
291,53
292,49.5
293,47.9
294,56.8
295,56.7
296,54
297,58.2
298,56.3
299,51.9
300,50.3
301,54
302,55.8
303,54.9
304,54.4
305,59.4
306,57.7
307,49.4
308,49.5
309,51.5
310,51.6
311,49.5
312,46.3
313,52.6
314,46.2
315,49.8
316,56.7
317,55.8
318,55
319,52.4
320,51.2
321,54.9
322,56
323,56.5
324,53.3
325,50.3
326,48.5
327,50
328,54.6
329,55.9
330,54.9
331,52.2
332,47.9
333,45.3
334,51.1
335,48.8
336,49.8
337,47.4
338,46.6
339,49.8
340,56.9
341,57.1
342,53.7
343,54.6
344,53.7
345,46.7
346,51.1
347,54.8
348,55.8
349,54.3
350,54.7
351,52.3
352,53.8
353,57.9
354,54.2
355,48
356,55.3
357,54.5
358,48.5
359,50.3
360,52.1
361,52.5
362,49.9
363,48.5
364,50.7
365,57.9
366,52.4
367,48.6
368,54.8
369,52.2
370,55.3
371,54.1
372,46.9
373,53.7
374,54.6
375,52.7
376,47
377,41.8
378,43.6
379,53.8
380,55.1
381,47.1
382,45.9
383,50.8
384,52.9
385,55.6
386,56.9
387,52.9
388,44.9
389,50.8
390,45.3
391,49
392,54.2
393,52.8
394,50.8
395,53.4
396,44.3
397,52.6
398,51.5
399,49.2
400,49.4
401,50.7
402,49.6
403,51.7
404,49.6
405,50.2
406,54
407,54
408,55.5
409,49.4
410,53.7
411,51.8
412,50.3
413,50.9
414,54.2
415,52.8
416,47.1
417,54.3
418,50.1
419,52.5
420,53.6
421,53
422,50.8
423,49.2
424,45.1
425,49.2
426,49.1
427,44.5
428,49.9
429,55.3
430,50.8
431,50.5
432,50.6
433,51.8
434,52.5
435,50.5
436,54.5
437,56.7
438,54.9
439,51
440,51.3
441,55.1
442,50.9
443,41.9
444,47.6
445,47.3
446,45.7
447,50
448,46.9
449,53.6
450,53.2
451,50.9
452,47.4
453,51.7
454,56
455,55.7
456,50.8
457,51.7
458,50.3
459,53.9
460,54.5
461,48.6
462,42.8
463,47.3
464,48.2
465,49
466,49.9
467,51
468,53.5
469,51.5
470,53.1
471,52
472,48.8
473,48
474,52.3
475,53.5
476,49.9
477,46.2
478,49.8
479,48.2
480,47.8
481,50.1
482,47.8
483,50.8
484,54.9
485,56.7
486,53
487,40
488,39.2
489,50.3
490,48.2
491,51.6
492,53.2
493,50.9
494,48.6
495,52.6
496,50.5
497,49.2
498,50.3
499,55.4
500,56.2
501,54.5
502,51.7
503,51.2
504,48.5
505,46.2
506,48.9
507,51.6
508,52.6
509,50.9
510,50.3
511,46.6
512,54.3
513,52.9
514,47.4
515,47.1
516,50.2
517,52.4
518,52.9
519,49.7
520,46.2
521,46.6
522,41.2
523,40.2
524,44.3
525,49.2
526,48.4
527,53
528,51.1
529,49.1
530,48
531,50.3
532,52
533,52.6
534,51.7
535,48.2
536,49.9
537,55.9
538,56.5
539,52.4
540,52.1
541,52.7
542,48
543,45.8
544,45.4
545,51.2
546,56.2
547,55
548,53.4
549,52.6
550,47.5
551,49.1
552,52.7
553,51.6
554,50.6
555,52.6
556,49.7
557,50.7
558,54.3
559,50.9
560,50.9
561,52.1
562,51.7
563,52.7
564,53.6
565,51.6
566,52.4
567,51.9
568,52.7
569,55.3
570,56.6
571,50.7
572,48.9
573,51.9
574,47.3
575,46
576,52.6
577,54.5
578,56.8
579,57.5
580,53.5
581,46.3
582,52.8
583,50.7
584,53
585,53
586,50.7
587,52.3
588,50
589,47.5
590,50.7
591,55.3
592,55.8
593,54.2
594,52.7
595,46.3
596,51.4
597,51.1
598,50.8
599,51.7
600,57.1
601,57
602,50.9
603,44.8
604,52.8
605,48.9
606,52.5
607,54.4
608,52
609,50.5
610,51.2
611,53.7
612,55.2
613,52.8
614,49.4
615,53.4
616,52.2
617,46.2
618,53.6
619,57.5
620,58.4
621,52.7
622,46.8
623,47.8
624,46.7
625,48.9
626,50
627,49.2
628,48.4
629,47.7
630,52.1
631,55.1
632,51.4
633,55.5
634,61.1
635,56.8
636,49.4
637,51
638,42.8
639,37.3
640,53.7
641,54.4
642,50.8
643,49.8
644,49.9
645,52.9
646,55.2
647,54.1
648,53.6
649,49.8
650,42.4
651,49.6
652,53.3
653,55.4
654,55.4
655,53.1
656,49.9
657,52
658,54.2
659,49.5
660,42.9
661,48.5
662,52.7
663,54.4
664,45.3
665,51.5
666,51.3
667,50.5
668,53.7
669,52.1
670,48.4
671,46.9
672,49.9
673,49.3
674,45
675,51.2
676,55
677,54.6
678,48.2
679,50.4
680,50.7
681,53.6
682,56.2
683,54.6
684,48.8
685,49.2
686,46.2
687,47.2
688,49.1
689,51.7
690,49.7
691,50.9
692,54.4
693,52.7
694,49.2
695,52.1
696,46
697,54.3
698,53.4
699,52.4
700,52.5
701,55.9
702,49.9
703,51.9
704,50.7
705,49.2
706,55.4
707,56.7
708,53.3
709,48.8
710,46.1
711,51.9
712,55.2
713,53.9
714,51.5
715,52.9
716,52.5
717,50.4
718,47.2
719,44.8
720,52
721,54.5
722,57.7
723,55.3
724,48.6
725,52
726,55.5
727,54
728,54.8
729,56.2
730,55.7
731,56.8
732,54.2
733,53.1
734,53.2
735,54.8
736,57
737,54.7
738,53.6
739,53
740,56.8
741,56.7
742,55.6
743,56.1
744,57.3
745,59.5
746,58.8
747,58.9
748,59.1
749,58.8
750,60.8
751,62.9
752,63.2
753,62.9
754,62.6
755,61.8
756,62.3
757,62.3
758,65.1
759,64.9
760,64.7
761,65.1
762,65.3
763,65
764,66.4
765,66.7
766,67.1
767,67.4
768,67.5
769,67.6
770,67
771,66.4
772,65.9
773,66.5
774,66.6
775,65.5
776,66
777,64.6
778,64.3
779,64.7
780,63.9
781,63.4
782,62.8
783,63.5
784,63.2
785,61.5
786,62
787,60.8
788,59.5
789,61
790,62.3
791,61.1
792,58.9
793,60.5
794,59.2
795,59.5
796,59.4
797,60.2
798,58.9
799,59.1
800,60.6
801,59.1
802,55.2
803,55.2
804,57.9
805,59.7
806,59.4
807,56
808,53
809,53.2
810,55.9
811,55.2
812,51.3
813,51
814,53.8
815,55.1
816,55.3
817,56.3
818,58.3
819,55.9
820,54.9
821,54.5
822,56.4
823,49.5
824,48.2
825,47.6
826,53
827,54.2
828,53.1
829,49.2
830,54
831,52.6
832,49.5
833,51.9
834,51.1
835,50.2
836,51.8
837,54.2
838,53.5
839,48
840,51.3
841,52.3
842,49.6
843,49.6
844,49.2
845,52.3
846,48.9
847,46.7
848,53.2
849,54.9
850,56.7
851,50.5
852,56
853,48.5
854,51.5
855,43.5
856,51
857,54.4
858,48.3
859,45.8
860,46.7
861,50.7
862,48.5
863,49.8
864,54
865,52.5
866,52.5
867,52.6
868,51.7
869,50.5
870,52.1
871,50.4
872,55.3
873,51.4
874,46.2
875,48.5
876,52.4
877,47.5
878,56.3
879,51.1
880,46.7
881,49.8
882,51.4
883,53.3
884,51.4
885,53.2
886,52.4
887,52.7
888,49.7
889,42.9
890,50.8
891,51.7
892,50.6
893,45.9
894,52.8
895,52.8
896,52.4
897,52.7
898,49.3
899,57.1
900,53.8
901,51.9
902,54.6
903,45.2
904,50.3
905,53.7
906,50.6
907,55
908,55.4
909,54.5
910,52.9
911,54.3
912,52.3
913,47.7
914,52.6
915,48.8
916,48.3
917,52.3
918,49.4
919,54.5
920,56
921,51.6
922,50.7
923,54.9
924,50
925,58.3
926,54.4
927,53.5
928,55.7
929,48.1
930,52.3
931,52
932,56.1
933,52.5
934,56.2
935,56.7
936,56.1
937,55.2
938,56.2
939,52.6
940,55.9
941,53.4
942,49.8
943,57.2
944,52.1
945,56.3
946,58.4
947,53.9
948,56.8
949,53.9
950,56.2
951,53.8
952,54.7
953,54.7
954,53.8
955,52.9
956,50.1
957,55.5
958,45.2
959,56.4
960,53.3
961,53
962,51.3
963,52.1
964,54.8
965,55.8
966,53.4
967,54.2
968,51.1
969,51.5
970,50.1
971,51.8
972,55.1
973,52.8
974,51.6
975,55
976,49.8
977,51
978,53.7
979,51.9
980,51.5
981,50.1
982,50.6
983,51.1
984,51.3
985,44.2
986,52.2
987,49.8
988,52.9
989,51.8
990,53.4
991,56.1
992,56.3
993,53.8
994,48.1
995,51.1
996,53
997,57.8
998,61.4
999,62.9
1000,64.1
1001,65
1002,66.2
1003,66.5
1004,65.8
1005,65.1
1006,64
1007,62.3
1008,59.8
1009,55.2
1010,54.1
1011,53.3
1012,54.5
1013,57.1
1014,57.8
1015,60.6
1016,57.8
1017,56.3
1018,55.3
1019,52
1020,49.1
1021,52.5
1022,53.2
1023,55.4
1024,53.5
1025,56.7
1026,54.8
1027,57.4
1028,53.7
1029,54.8
1030,53.7
1031,56
1032,53.4
1033,57
1034,48.9
1035,53.6
1036,50.6
1037,53.8
1038,50
1039,49.7
1040,49.6
1041,49.8
1042,48.6
1043,47.2
1044,43.2
1045,39
1046,49.6
1047,46.7
1048,47.8
1049,42.7
1050,42.4
1051,50.2
1052,51.3
1053,50.8
1054,52.5
1055,46.4
1056,45.3
1057,52
1058,53.2
1059,50.1
1060,50.5
1061,51.8
1062,50.1
1063,51.2
1064,47.3
1065,38.9
1066,37.7
1067,36.8
1068,37.8
1069,44.6
1070,46.6
1071,41.5
1072,47.9
1073,48.1
1074,39.2
1075,46.9
1076,50.6
1077,50.3
1078,46.9
1079,42.8
1080,43.4
1081,46.9
1082,42.5
1083,50.9
1084,53.3
1085,47.5
1086,43.8
1087,44.8
1088,44.2
1089,49
1090,46.7
1091,43.2
1092,43.2
1093,37.8
1094,47.4
1095,46.2
1096,49.5
1097,49.1
1098,48.6
1099,48.4
1100,46.8
1101,48.3
1102,49.7
1103,51.1
1104,53.2
1105,45.8
1106,46.9
1107,53.5
1108,52.9
1109,50.4
1110,52.5
1111,47.6
1112,43.2
1113,49.3
1114,50
1115,44.2
1116,47
1117,48.5
1118,48.1
1119,47.4
1120,44.5
1121,49.2
1122,51.5
1123,49.7
1124,46.6
1125,46.8
1126,46.1
1127,45.5
1128,41.1
1129,46.3
1130,49.3
1131,49
1132,50.7
1133,53.6
1134,54.4
1135,52.3
1136,47.7
1137,47.4
1138,45.3
1139,44
1140,50.1
1141,53.9
1142,52.3
1143,43.1
1144,35.8
1145,47.9
1146,50.6
1147,44.6
1148,45.9
1149,53.8
1150,54.7
1151,52.1
1152,51
1153,52.2
1154,47.1
1155,53.1
1156,55.9
1157,53.6
1158,52.9
1159,52.3
1160,51.4
1161,51.9
1162,53.8
1163,53.3
1164,49.8
1165,46.2
1166,49
1167,49.8
1168,49.3
1169,49.9
1170,51.6
1171,54.9
1172,56.5
1173,55.7
1174,54.1
1175,54.7
1176,53.3
1177,47.5
1178,44.1
1179,46
1180,47.9
