freq,db
100,62.3
101,68.1
102,70.6
103,73.7
104,73.6
105,70.5
106,71.4
107,75.6
108,74.6
109,72.8
110,73.7
111,70.6
112,64.1
113,65.4
114,61.2
115,61
116,65
117,63.8
118,67.9
119,67.1
120,67.7
121,67.7
122,68.8
123,65.2
124,60.3
125,61.8
126,60.8
127,65.7
128,64.8
129,68
130,69.4
131,68.2
132,68.3
133,65.6
134,62.2
135,61.9
136,66.3
137,63.3
138,62.7
139,63.5
140,66.8
141,64.3
142,61.3
143,60.7
144,66.3
145,64.5
146,64
147,66.7
148,66.1
149,63.7
150,61.4
151,62.2
152,68.3
153,71
154,71.8
155,71.2
156,69.4
157,70
158,69.1
159,65.5
160,62.9
161,53
162,45.2
163,59.5
164,60.9
165,60.7
166,59.6
167,59.9
168,62.3
169,64.6
170,66.1
171,63.6
172,60.6
173,62.9
174,57.1
175,50.7
176,57.5
177,63.2
178,66.2
179,65.1
180,63.2
181,61.9
182,64.7
183,63.5
184,61.4
185,65.3
186,62.4
187,61.6
188,48.5
189,54.7
190,60.8
191,60.6
192,61.4
193,59.1
194,61.4
195,60
196,62.7
197,60.1
198,59.7
199,61.1
200,57.5
201,60.7
202,60.5
203,59.8
204,55.2
205,54.8
206,59.1
207,59.1
208,62.5
209,64.7
210,64
211,62.2
212,57.3
213,56.9
214,54.5
215,49.7
216,51.5
217,63.7
218,61.5
219,63.1
220,61.5
221,58.6
222,58.5
223,55.9
224,53.4
225,58.9
226,58.4
227,61
228,61.3
229,59.7
230,55.7
231,58.4
232,62.8
233,61.1
234,51.3
235,47.4
236,55.4
237,59.9
238,58.7
239,53.3
240,53.2
241,61.3
242,59.1
243,64.5
244,60.2
245,58.4
246,60.7
247,60.9
248,67.6
249,64.3
250,62.5
251,64.5
252,62.3
253,49.4
254,57.6
255,60.2
256,65.1
257,63.9
258,62.6
259,60.4
260,59
261,57.1
262,57.2
263,59.5
264,63.4
265,62.7
266,57
267,56.7
268,60.9
269,61.3
270,61.3
271,61.2
272,46.8
273,52.7
274,55.2
275,57.8
276,50.9
277,58.7
278,58
279,61.1
280,64.2
281,59.8
282,61.6
283,62.2
284,54.5
285,57.9
286,53.1
287,63
288,58.8
289,57.1
