call_type,mean_min,sd_min,mean_max,sd_max
c.5,128.4111111111111,14.49745188338665,709.5222222222222,27.45982418815612
pulse.a,470.94827586206895,243.88341275039255,631.948275862069,261.3230808524324
pulse.d,931.1103448275862,364.63114958311695,1235.5310344827587,382.2069802975573
pulse.d.bc,723.1423076923077,116.77478211695168,1672.246153846154,296.88370279389767
pulse.d.seg,295.8142857142857,169.41512835129487,486.625,181.18363638196632
pulse.flat,848.1296296296297,437.3938164020847,897.5333333333333,439.79017636910584
pulse.flat.bc,800.7333333333333,66.08770687503088,1329.1,321.06554237413894
pulse.flat.seg,237.46153846153845,143.4112661597354,403.8576923076923,81.1271701617993
pulse.flat.seg.1,883.9701428571428,46.66965847110438,1803.4914285714285,32.039513535930084
pulse.flat.seg.2,982.94,59.53929048209352,1516.58,168.3036462270896
pulse.flat.seg.3,921.4444444444445,91.41094812935975,1620.1277777777777,88.73098673257245
pulse.flat.seg.4,957.819,66.7867446818603,1578.636,55.923181740669946
pulse.mod,459.58076923076925,240.45081496094917,614.4653846153847,344.2547463054738
pulse.mod.bc,578.925,244.9802037456756,1310.1583333333333,402.05882531683284
pulse.mod.seg,366.7241379310345,245.3379369871752,737.7862068965517,236.67673209937934
pulse.n,838.4038461538462,382.2110877311324,1140.9692307692308,409.1738992352574
