"aws"	"aws.seg"	"aws.seq"	"dottrill"	"dws"	"dws.seg"	"dws.seq"	"dws.seq.t"	"flatws"	"flatws.seg"	"modws"	"modws.m"	"modws.m.seg"	"modws.sa"	"modws.sa.seq"	"modws.seg"	"modws.seg.t"	"modws.t"	"nws"	"nws.seg"	"nws.seq"	"pulse.a"	"pulse.d"	"pulse.d.bc"	"pulse.d.seg"	"pulse.flat"	"pulse.flat.bc"	"pulse.flat.seg"	"pulse.flat.seg.1"	"pulse.flat.seg.2"	"pulse.flat.seg.3"	"pulse.flat.seg.4"	"pulse.mod"	"pulse.mod.bc"	"pulse.mod.seg"	"pulse.n"	"rws"	"trill"	"uws"	"uws.seq"	"class.error"
"aws"	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
"aws.seg"	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aws.seq"	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111111111
"dottrill"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.333333333333333
"dws"	1	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0277777777777778
"dws.seg"	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
"dws.seq"	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
"dws.seq.t"	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"flatws"	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"flatws.seg"	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
