Call_type,number
aws,40
aws.seg,8
aws.seq,9
c.5,8
dottrill,3
dws,359
dws.seg,28
dws.seq,79
dws.seq.t,4
flatws,326
flatws.seg,27
modws,157
modws.m,4
modws.m.seg,5
modws.sa,3
modws.sa.seq,7
modws.seg,76
modws.seg.t,5
modws.t,5
nws,21
nws.seg,3
nws.seq,5
pulse.a,21
pulse.d,42
pulse.d.bc,12
pulse.d.seg,16
pulse.flat,114
pulse.flat.bc,3
pulse.flat.seg,65
pulse.flat.seg.1,6
pulse.flat.seg.2,11
pulse.flat.seg.3,16
pulse.flat.seg.4,6
pulse.mod,16
pulse.mod.bc,4
pulse.mod.seg,10
pulse.n,12
rws,6
trill,48
uws,26
uws.seq,10
